gene	donor_id	sample	development_stage	sex	cell_type_level_2	n_cells	n_detected	detection_fraction	matrix_used
LOXL3	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTEC	14	0	0	X
LOXL3	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTEC-mimetic	17	0	0	X
LOXL3	6m_thymus_donor	GSM4838952	6-month-old stage	female	mcTEC	6	0	0	X
LOXL3	6m_thymus_donor	GSM4838953	6-month-old stage	female	cTEC	2	0	0	X
LOXL3	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC	309	3	0.00970874	X
LOXL3	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC-mimetic	295	16	0.0542373	X
LOXL3	6m_thymus_donor	GSM4838953	6-month-old stage	female	mcTEC	14	0	0	X
LOXL3	6m_thymus_donor	GSM4838954	6-month-old stage	female	cTEC	4	0	0	X
LOXL3	6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC	237	0	0	X
LOXL3	6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC-mimetic	1485	33	0.0222222	X
LOXL3	6m_thymus_donor	GSM4838954	6-month-old stage	female	mcTEC	2	0	0	X
LOXL3	F21	FCAImmP7179370	17th week post-fertilization stage	male	cTEC	7	0	0	X
LOXL3	F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC	22	0	0	X
LOXL3	F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC-mimetic	11	0	0	X
LOXL3	F21	FCAImmP7179370	17th week post-fertilization stage	male	mcTEC	3	0	0	X
LOXL3	F23	FCAImmP7198635	12th week post-fertilization stage	male	cTEC	4	0	0	X
LOXL3	F23	FCAImmP7198635	12th week post-fertilization stage	male	mcTEC	2	0	0	X
LOXL3	F30	FCAImmP7277565	15th week post-fertilization stage	male	cTEC	4	0	0	X
LOXL3	F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC	9	0	0	X
LOXL3	F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC-mimetic	3	0	0	X
LOXL3	F30	FCAImmP7277565	15th week post-fertilization stage	male	mcTEC	5	0	0	X
LOXL3	F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC	9	0	0	X
LOXL3	F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC-mimetic	2	0	0	X
LOXL3	F38	FCAImmP7528285	14th week post-fertilization stage	male	cTEC	1	0	0	X
LOXL3	F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC	10	0	0	X
LOXL3	F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC-mimetic	2	0	0	X
LOXL3	F45	FCAImmP7579231	13th week post-fertilization stage	female	cTEC	1	0	0	X
LOXL3	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC	4	0	0	X
LOXL3	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC-mimetic	3	1	0.333333	X
LOXL3	F45	FCAImmP7579231	13th week post-fertilization stage	female	mcTEC	2	0	0	X
LOXL3	F64	FCAImmP7851890	12th week post-fertilization stage	male	cTEC	2	0	0	X
LOXL3	F64	FCAImmP7851890	12th week post-fertilization stage	male	mTEC	1	0	0	X
LOXL3	F64	FCAImmP7851890	12th week post-fertilization stage	male	mcTEC	5	0	0	X
LOXL3	F64	FCAImmP7851891	12th week post-fertilization stage	male	cTEC	3	0	0	X
LOXL3	F64	FCAImmP7851891	12th week post-fertilization stage	male	mTEC	1	0	0	X
LOXL3	F64	FCAImmP7851891	12th week post-fertilization stage	male	mcTEC	3	0	0	X
LOXL3	F67	FCAImmP7851895	13th week post-fertilization stage	female	cTEC	1	0	0	X
LOXL3	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTEC	4	1	0.25	X
LOXL3	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTEC-mimetic	1	0	0	X
LOXL3	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	cTEC	87	0	0	X
LOXL3	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTEC	175	2	0.0114286	X
LOXL3	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTEC-mimetic	8	0	0	X
LOXL3	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mcTEC	164	1	0.00609756	X
