analysis_group	gene	n_mice_total	spearman_rho_per_mouse	spearman_p_per_mouse	linear_age_slope	linear_age_p	batch_adjusted_model_status	4_vs_52_n_young_mice	4_vs_52_n_old_mice	4_vs_52_old_minus_young_log2cpm	4_vs_52_old_minus_young_detection	16_vs_52_n_young_mice	16_vs_52_n_old_mice	16_vs_52_old_minus_young_log2cpm	16_vs_52_old_minus_young_detection	4+16_vs_52_n_young_mice	4+16_vs_52_n_old_mice	4+16_vs_52_old_minus_young_log2cpm	4+16_vs_52_old_minus_young_detection
combined_mTEClo_mTEChi	Lox	25	0.2667179437879303	0.1974633593518319	0.007670991175281827	0.5842197465112893	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	0.39459343591509155	0.11073767210147195	5	5	-0.8539848781216803	0.09048299955740971	10	5	-0.2296957211032944	0.10061033582944084
combined_mTEClo_mTEChi	Loxl1	25	-0.47460104703440537	0.016522974153189963	-0.011172189279102802	0.03482278210091921	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-0.28220674235142607	0.06364434647137807	5	5	-0.22133616284023727	0.10124278826638167	10	5	-0.25177145259583256	0.08244356736887981
combined_mTEClo_mTEChi	Loxl2	25	-0.4903846516556708	0.01282109064953874	-0.03345038020109601	0.02915571361856819	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-1.3037921440495879	-0.1298101411936286	5	5	-0.47353757183251677	-0.04699863556487874	10	5	-0.8886648579410523	-0.08840438837925368
combined_mTEClo_mTEChi	Loxl3	25	-0.13335897189396514	0.5250984507487562	-0.0012785997126548317	0.8983688339929069	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-0.28024203832803707	0.01636733586320044	5	5	0.39155514817241777	0.04937775473165673	10	5	0.05565655492219079	0.032872545297428585
combined_mTEClo_mTEChi	Loxl4	25	-0.16865987621883824	0.42028684885894185	-0.005677479765101386	0.36420052473193143	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-0.09034365099765296	0.002290142551018004	5	5	-0.5757206704513846	-0.03856218393423483	10	5	-0.33303216072452013	-0.018136020691608357
cTEC	Lox	25	0.06669231262517124	0.7514390775148179	-0.0010216505022398602	0.9583235704360634	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-1.7794653271295595	-0.21320462146549107	5	5	0.08837389405222051	-0.18405116006411104	10	5	-0.8455457165386693	-0.19862789076480097
cTEC	Loxl1	25	-0.3922322702763681	0.05246731364537837	-0.011395944242673968	0.0761575179078596	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-0.5650858856455656	0.0007139623661363004	5	5	0.05745737573786425	0.05687835507076944	10	5	-0.25381425495385024	0.02879615871845298
cTEC	Loxl2	25	-0.5821401226650971	0.0022659193408565955	-0.04506967626761288	0.0005031264652375271	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-2.8467460246264427	-0.2038371676632546	5	5	-0.7335828614015161	-0.04896999454446263	10	5	-1.790164443013979	-0.1264035811038586
cTEC	Loxl3	25	0.2809869533513397	0.1736381940402604	0.012018978181966325	0.5891219699452819	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	0.5348379501338898	-0.029896017026451838	5	5	1.3095418287695515	0.017828031974192915	10	5	0.9221898894517206	-0.006033992526129461
cTEC	Loxl4	25	-0.21180542594923876	0.3094389188592564	-0.011632773797994947	0.1373914710795837	not estimated; SortDay/PlateID/run are complex cell/acquisition fields rather than simple mouse-level covariates	5	5	-0.4541117660933889	-0.05191574608965921	5	5	-0.8200561957553214	-0.10250725654240922	10	5	-0.6370839809243547	-0.07721150131603427
