gene	donor_id	samples	age_development	sex	cell_types_epith	n_cells	n_detected	detection_fraction	matrix_used	not_generated_reason
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Neuroendocrine	722	38	0.0526316	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC hi	215	15	0.0697674	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC lo	379	21	0.055409	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC lo	66	7	0.106061	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Aire+ mTEC hi	35	0	0	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Corneocyte-like mTEC	295	7	0.0237288	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Immature TEC	264	6	0.0227273	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Myoid	40	9	0.225	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Neuroendocrine	69	0	0	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC hi	151	4	0.0264901	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC lo	47	0	0	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC lo	273	5	0.018315	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Aire+ mTEC hi	20	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Corneocyte-like mTEC	83	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Immature TEC	12	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Myoid	4	2	0.5	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Neuroendocrine	2	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC hi	93	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC lo	5	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC lo	16	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Aire+ mTEC hi	11	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Corneocyte-like mTEC	31	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Immature TEC	1515	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myelin+	59	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myoid	35	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Neuroendocrine	130	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC hi	2	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC lo	25	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC lo	823	1	0.00121507	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Aire+ mTEC hi	79	0	0	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Corneocyte-like mTEC	56	1	0.0178571	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Immature TEC	1257	2	0.00159109	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myelin+	19	3	0.157895	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myoid	104	2	0.0192308	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Neuroendocrine	161	0	0	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC hi	2469	10	0.00405022	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC lo	2706	10	0.00369549	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC lo	888	2	0.00225225	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Aire+ mTEC hi	98	0	0	raw.X	
