gene	annotation_level	group_or_subtype	status	n_young_samples	n_aged_samples	young_cell_count	aged_cell_count	raw_pvalue	original_padj	log2FC_18mo_vs_02mo	global_bh_fdr_lox_x_subtype_matrix	global_fdr_classification
Loxl2	subtype	13:mTEC1	ok	2	2	579	1053	8.524910941339315e-05	0.0009563256575355	-3.2911494397505088	0.0034952134859491195	global_FDR_lt_0.05
Loxl3	subtype	13:mTEC1	ok	2	2	579	1053	0.9503044669211173		0.1017528447706945	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	13:mTEC1	ok	2	2	579	1053	0.6640791605220585		0.7967897534622436	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	subtype	14:mTEC-prol	ok	2	2	242	143	0.3614265818088686		-2.0532515476383195	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	14:mTEC-prol	ok	2	2	242	143	0.4341382446713832		-1.1639305604741117	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	14:mTEC-prol	ok	2	2	242	143	0.930869253632605		-0.0575925380211404	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	14:mTEC-prol	ok	2	2	242	143	0.7483752201639182		-1.063437312302589	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	14:mTEC-prol	ok	2	2	242	143	0.592715645712051		-1.6099031508886557	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	subtype	15:mTEC2	ok	2	2	928	452	0.6768478600665025		0.5167151621531384	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	15:mTEC2	ok	2	2	928	452	0.0728433655250227		-1.366506787177563	0.4715649452409364	not_significant_after_global_matrix_correction
Loxl2	subtype	15:mTEC2	ok	2	2	928	452	0.5424723796205508		-0.3065825347628291	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	15:mTEC2	ok	2	2	928	452	0.6871034032192801		-0.2508356621997876	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	15:mTEC2	ok	2	2	928	452	0.692711491617883		-0.9439331486190724	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	subtype	16:mimetic(basal)	ok	2	2	123	40	0.9991590451598896		-0.0030777863625488	0.9991590451598896	not_significant_after_global_matrix_correction
Loxl1	subtype	16:mimetic(basal)	ok	2	2	123	40	0.7080101807260384		-1.6998635594885645	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	16:mimetic(basal)	ok	2	2	123	40	0.705012594174788		1.37081585378069	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	16:mimetic(basal)	ok	2	2	123	40	0.9839678651959822		0.107665196708694	0.9990050334890787	not_significant_after_global_matrix_correction
Loxl4	subtype	16:mimetic(basal)	not_tested_zero_counts	2	2	123	40					not_tested
Lox	subtype	17:mimetic(tuft)	ok	2	2	243	162	0.9330109138483994		0.3563110041944593	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	17:mimetic(tuft)	ok	2	2	243	162	0.6331915388172122		-0.8021344286124709	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	17:mimetic(tuft)	ok	2	2	243	162	0.6496006317033554		-2.1158549034865066	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	17:mimetic(tuft)	ok	2	2	243	162	0.739820605555134		1.7744668716963232	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	17:mimetic(tuft)	not_tested_zero_counts	2	2	243	162					not_tested
Lox	subtype	18:mimetic(neuroendo)	ok	2	2	87	121	0.8746637334206604		0.8469250033568729	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	18:mimetic(neuroendo)	ok	2	2	87	121	0.3754230656419682		-1.8293598808703453	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	18:mimetic(neuroendo)	ok	2	2	87	121	0.2890315355718887		-2.308245048403328	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	18:mimetic(neuroendo)	ok	2	2	87	121	0.948675670456822		-0.2489879561682226	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	18:mimetic(neuroendo)	not_tested_zero_counts	2	2	87	121					not_tested
Lox	subtype	19:mimetic(goblet)	ok	2	2	41	119	0.8688977600387489		0.151835774866609	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	19:mimetic(goblet)	ok	2	2	41	119	0.633102074324685		2.285193786881998	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	19:mimetic(goblet)	ok	2	2	41	119	0.9212468732724524		-0.5288648993775361	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	19:mimetic(goblet)	not_tested_zero_counts	2	2	41	119					not_tested
Loxl4	subtype	19:mimetic(goblet)	ok	2	2	41	119	0.917266661058365		-0.5560673531923062	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	subtype	1:capEC	ok	3	1	588	490	0.62459183442621	0.9997764860265292	-2.8271410723916706	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	1:capEC	ok	3	1	588	490	0.1462059979472894	0.9997764860265292	-5.60005146847653	0.7818842498920258	not_significant_after_global_matrix_correction
Loxl2	subtype	1:capEC	ok	3	1	588	490	0.5587420329589984	0.9997764860265292	1.2080618172690116	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	1:capEC	ok	3	1	588	490	0.9339368372448204	0.9997764860265292	-0.3524488707171099	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	1:capEC	not_tested_zero_counts	3	1	588	490					not_tested
Lox	subtype	20:mimetic(microfold)	not_tested_zero_counts	2	1	28	13					not_tested
Loxl1	subtype	20:mimetic(microfold)	ok	2	1	28	13	0.7645444924971474	0.9997607667239906	-1.666849575966744	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	20:mimetic(microfold)	ok	2	1	28	13	0.5627684301239275	0.9997607667239906	-3.384080640364037	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	20:mimetic(microfold)	ok	2	1	28	13	0.6468192910226239	0.9997607667239906	-1.3225253712945173	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	20:mimetic(microfold)	ok	2	1	28	13	0.8864292032197996	0.9997607667239906	-0.7955103498843934	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	subtype	2:venEC	ok	3	1	173	76	0.5864730586599658	0.9995340279615031	-2.83680075666836	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	2:venEC	ok	3	1	173	76	0.7433685900890059	0.9995340279615031	-1.8194156449395216	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	2:venEC	ok	3	1	173	76	0.6278161126243451	0.9995340279615031	2.160105204132211	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	2:venEC	ok	3	1	173	76	0.6775537600765799	0.9995340279615031	-2.2651204758115235	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	2:venEC	ok	3	1	173	76	0.8424402295829176	0.9995340279615031	-1.2809771713291933	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	subtype	3:capsFB	ok	3	3	2598	1268	5.37656913172565e-07	7.52478034885109e-05	-1.461983266265079	6.566480643107082e-05	global_FDR_lt_0.05
Loxl1	subtype	3:capsFB	ok	3	3	2598	1268	0.08382227566267	0.4824702101144022	-0.2539896112183952	0.5155069953254205	not_significant_after_global_matrix_correction
Loxl2	subtype	3:capsFB	ok	3	3	2598	1268	0.4320517852653824	0.8661897693973287	0.1467134845580635	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	3:capsFB	ok	3	3	2598	1268	0.3930276654916106	0.8480762601501095	-0.1843459999455056	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	3:capsFB	ok	3	3	2598	1268	0.6662166101069448	0.9448631146652802	0.4569331626702036	0.9748426779227708	not_significant_after_global_matrix_correction
