gene	age_development	cell_types_epith	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label	not_generated_reason
LOXL3	Fetal (19 weeks)	cTEC lo	1	1	1	2706	0.00369549	0.00369549	not_generated	not_generated	
LOXL3	Fetal (19 weeks)	mTEC lo	1	1	1	888	0.00225225	0.00225225	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	Aire+ mTEC hi	1	1	1	98	0	0	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	Corneocyte-like mTEC	1	1	1	247	0.00404858	0.00404858	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	Immature TEC	1	1	1	259	0	0	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	Myelin+	1	1	1	88	0.0340909	0.0340909	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	Myoid	1	1	1	364	0.0164835	0.0164835	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	Neuroendocrine	1	1	1	722	0.0152355	0.0152355	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	cTEC hi	1	1	1	215	0.00930233	0.00930233	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	cTEC lo	1	1	1	379	0	0	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	mTEC lo	1	1	1	66	0.0151515	0.0151515	not_generated	not_generated	
LOXL3	Postnatal (10 months)	Aire+ mTEC hi	1	1	1	35	0	0	not_generated	not_generated	
LOXL3	Postnatal (10 months)	Corneocyte-like mTEC	1	1	1	295	0	0	not_generated	not_generated	
LOXL3	Postnatal (10 months)	Immature TEC	1	1	1	264	0.0151515	0.0151515	not_generated	not_generated	
LOXL3	Postnatal (10 months)	Myoid	1	1	1	40	0	0	not_generated	not_generated	
LOXL3	Postnatal (10 months)	Neuroendocrine	1	1	1	69	0.057971	0.057971	not_generated	not_generated	
LOXL3	Postnatal (10 months)	cTEC hi	1	1	1	151	0	0	not_generated	not_generated	
LOXL3	Postnatal (10 months)	cTEC lo	1	1	1	47	0	0	not_generated	not_generated	
LOXL3	Postnatal (10 months)	mTEC lo	1	1	1	273	0.003663	0.003663	not_generated	not_generated	
LOXL3	Postnatal (6 days)	Aire+ mTEC hi	1	1	1	20	0	0	not_generated	not_generated	
