gene	donor_id	samples	age_development	sex	cell_type_broad_derived	n_cells	n_detected	detection_fraction	matrix_used	not_generated_reason
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC-like	119	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	myoid-like	4	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	neuroendocrine-like	2	0	0	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	TEC-like	1515	131	0.0864686	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC-like	27	1	0.037037	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC-like	865	50	0.0578035	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	myoid-like	35	6	0.171429	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	neuroendocrine-like	130	2	0.0153846	raw.X	
LOXL4	not_available	Adult (25 yo)	Adult (25 yo)	not_available	other_epithelial	59	1	0.0169492	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	TEC-like	1257	8	0.00636436	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC-like	5175	23	0.00444444	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC-like	1023	8	0.00782014	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	myoid-like	104	0	0	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	neuroendocrine-like	161	0	0	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	other_epithelial	19	0	0	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	TEC-like	259	3	0.011583	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC-like	594	1	0.0016835	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC-like	411	1	0.00243309	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	myoid-like	364	1	0.00274725	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	neuroendocrine-like	722	3	0.00415512	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	other_epithelial	88	0	0	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	TEC-like	264	14	0.0530303	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC-like	198	2	0.010101	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC-like	603	30	0.0497512	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	myoid-like	40	7	0.175	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	neuroendocrine-like	69	0	0	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	TEC-like	12	2	0.166667	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC-like	98	0	0	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC-like	119	3	0.0252101	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	myoid-like	4	0	0	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	neuroendocrine-like	2	0	0	raw.X	
