target_compartment	broad_compartment	fine_cell_type	n_cells	n_donors	n_samples	age_groups
other	Hema	memory-like CD4 T	2608	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	memory-like CD8 T	2565	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	CD4 SOX4hi SP	2510	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	CD4+RTE	2488	20	20	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	pre-CD4 T	2437	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	TP1	2275	26	26	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	ETP	2273	13	13	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	CD8+TCM	2256	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	CD8 SOX4hi SP	2019	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	MAIT	1948	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	cDC	cDC	1940	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	HSP_DP	1695	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	CD4 SOX4lo SP	1447	17	17	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	T_un	1265	20	20	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	pre_Treg1	1258	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	pre-CD8 T	1246	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Plasma	Plasma	1206	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	IFN_T	1136	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other		Thy1	1055	18	18	age_unknown
other	Tcell	Vδ1T-1	994	20	20	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	CD8+RTE	922	16	16	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	NK	CD56_Bright_NK	867	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	γδT_P	799	26	26	adult_40_64y; fetal_or_infant_lt1y; pediatric_1_17y; young_adult_18_39y
other	ABC	ABC	785	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	Agonist_2	750	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	IFN_response	717	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	Tex	674	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	pDC	pDC	644	21	21	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	Treg	627	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	CD8 SOX4lo SP	554	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other		Ciliated	445	36	36	age_unknown
other	Hema	NaiveB	393	17	17	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	pre_Treg2	386	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	MatureNK	314	15	15	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	NKT_like_CD8ααT	296	16	16	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	Plasma	290	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	ISP-like	197	19	19	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	DC2	178	16	16	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	γδT_3	176	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	γδT_1	157	17	17	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	γδT_2	145	17	17	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	pDC	143	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	aDC	140	17	17	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other		Ionocyte	138	25	25	age_unknown
other	Hema	GNG4+CD8ααT	128	17	17	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	Lti	122	15	15	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	DC1	118	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	MemoryNK	108	16	16	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	Macrophage	103	17	17	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	DC1P	99	16	16	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	HSPC	HSPC	93	21	21	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
