gene	donor_id	sample_id	development_stage	sex	cell_type	n_cells	n_detected	detection_fraction
LOXL1	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	cortical thymic epithelial cell	3	0	0
LOXL1	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	medullary thymic epithelial cell	6	0	0
LOXL1	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	cortical thymic epithelial cell	4	0	0
LOXL1	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	medullary thymic epithelial cell	3	1	0.333333
LOXL1	F67	F67_TH_TOT_5GEX_1	12th week post-fertilization stage	female	medullary thymic epithelial cell	1	0	0
LOXL1	F67	F67_TH_TOT_5GEX_2	12th week post-fertilization stage	female	medullary thymic epithelial cell	1	0	0
LOXL1	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	cortical thymic epithelial cell	1	0	0
LOXL1	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	medullary thymic epithelial cell	5	2	0.4
LOXL1	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	cortical thymic epithelial cell	2	0	0
LOXL1	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	medullary thymic epithelial cell	3	0	0
LOXL1	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	cortical thymic epithelial cell	16	4	0.25
LOXL1	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	medullary thymic epithelial cell	15	0	0
LOXL1	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	cortical thymic epithelial cell	5	1	0.2
LOXL1	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	medullary thymic epithelial cell	10	2	0.2
LOXL1	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	cortical thymic epithelial cell	34	2	0.0588235
LOXL1	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	450	48	0.106667
LOXL1	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	cortical thymic epithelial cell	235	13	0.0553191
LOXL1	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	medullary thymic epithelial cell	1809	256	0.141515
