gene	development_stage	cell_type_level_2	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL1	20th week post-fertilization stage	mTEC-mimetic	1	1	1	131	0.0687023	0.0687023	not_generated	not_generated
LOXL1	20th week post-fertilization stage	mcTEC	1	1	1	2432	0.0444079	0.0444079	not_generated	not_generated
LOXL1	20th week post-fertilization stage	see_lv4_explore	1	1	1	16	0	0	not_generated	not_generated
LOXL1	24th week post-fertilization stage	cTEC	1	2	2	429	0.0452343	0.0452343	not_generated	not_generated
LOXL1	24th week post-fertilization stage	mTEC	1	2	2	706	0.0372228	0.0372228	not_generated	not_generated
LOXL1	24th week post-fertilization stage	mTEC-mimetic	1	2	2	926	0.0582288	0.0582288	not_generated	not_generated
LOXL1	24th week post-fertilization stage	mcTEC	1	2	2	540	0.0496012	0.0496012	not_generated	not_generated
LOXL1	24th week post-fertilization stage	see_lv4_explore	1	2	2	49	0.0434783	0.0434783	not_generated	not_generated
LOXL1	3-month-old stage	cTEC	1	3	3	470	0.0178571	0.0222718	not_generated	not_generated
LOXL1	3-month-old stage	mTEC	1	3	3	1250	0.150943	0.172879	not_generated	not_generated
LOXL1	3-month-old stage	mTEC-mimetic	1	2	2	27	0.1	0.1	not_generated	not_generated
LOXL1	3-month-old stage	mcTEC	1	3	3	274	0.125	0.12647	not_generated	not_generated
LOXL1	6-month-old stage	cTEC	3	7	7	2677	0.03125	0.0234336	not_generated	not_generated
LOXL1	6-month-old stage	mTEC	3	7	7	1382	0.113043	0.097494	not_generated	not_generated
LOXL1	6-month-old stage	mTEC-mimetic	3	7	7	1957	0.107692	0.107943	not_generated	not_generated
LOXL1	6-month-old stage	mcTEC	3	7	7	132	0	0.0319625	not_generated	not_generated
LOXL1	6-month-old stage	see_lv4_explore	1	1	1	1	0	0	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	cTEC	2	4	4	2330	0.069011	0.088077	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	mTEC	2	4	4	1367	0.0564282	0.0567731	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	mTEC-mimetic	2	4	4	130	0.0175438	0.0373434	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	mcTEC	2	4	4	2556	0.00890585	0.015564	not_generated	not_generated
LOXL2	10-month-old stage	cTEC	1	2	2	275	0	0	not_generated	not_generated
LOXL2	10-month-old stage	mTEC	1	2	2	645	0.00568829	0.00568829	not_generated	not_generated
LOXL2	10-month-old stage	mTEC-mimetic	1	2	2	102	0.122976	0.122976	not_generated	not_generated
LOXL2	10-month-old stage	mcTEC	1	2	2	224	0.00462963	0.00462963	not_generated	not_generated
LOXL2	12th week post-fertilization stage	cTEC	2	3	3	9	0	0	not_generated	not_generated
LOXL2	12th week post-fertilization stage	mTEC	1	2	2	2	0	0	not_generated	not_generated
LOXL2	12th week post-fertilization stage	mcTEC	2	3	3	10	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	cTEC	2	2	2	2	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	mTEC	2	2	2	8	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	mTEC-mimetic	2	2	2	4	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOXL2	14th week post-fertilization stage	cTEC	1	1	1	1	0	0	not_generated	not_generated
LOXL2	14th week post-fertilization stage	mTEC	1	2	2	19	0	0	not_generated	not_generated
LOXL2	14th week post-fertilization stage	mTEC-mimetic	1	2	2	4	0.25	0.25	not_generated	not_generated
LOXL2	15th week post-fertilization stage	cTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mTEC	1	1	1	9	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mTEC-mimetic	1	1	1	3	0.333333	0.333333	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mcTEC	1	1	1	5	0.2	0.2	not_generated	not_generated
LOXL2	17th week post-fertilization stage	cTEC	1	1	1	7	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mTEC	1	1	1	22	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mTEC-mimetic	1	1	1	11	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mcTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL2	18th week post-fertilization stage	cTEC	1	1	1	87	0.0344828	0.0344828	not_generated	not_generated
LOXL2	18th week post-fertilization stage	mTEC	1	1	1	175	0.131429	0.131429	not_generated	not_generated
