gene	development_stage	cell_type_level_4_explore	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOX	3-month-old stage	cTECIII	1	3	3	255	0	0	not_generated	not_generated
LOX	3-month-old stage	mTECI	1	3	3	797	0.0162602	0.0173248	not_generated	not_generated
LOX	3-month-old stage	mTECI-trans	1	3	3	32	0	0	not_generated	not_generated
LOX	3-month-old stage	mTECII	1	3	3	282	0	0.011583	not_generated	not_generated
LOX	3-month-old stage	mTECIII	1	3	3	139	0	0	not_generated	not_generated
LOX	3-month-old stage	mcTEC	1	3	3	258	0.0714286	0.049126	not_generated	not_generated
LOX	3-month-old stage	mcTEC-Prolif	1	2	2	16	0.25	0.25	not_generated	not_generated
LOX	6-month-old stage	TEC-cilliated	3	7	7	438	0	0.000747943	not_generated	not_generated
LOX	6-month-old stage	TEC-myo	3	6	6	341	0	0.00527103	not_generated	not_generated
LOX	6-month-old stage	TEC-neuro	3	7	7	1178	0	0.000143143	not_generated	not_generated
LOX	6-month-old stage	TEC-tuft	1	1	1	1	0	0	not_generated	not_generated
LOX	6-month-old stage	cTECI	3	6	6	211	0	0.0060241	not_generated	not_generated
LOX	6-month-old stage	cTECII	3	5	5	818	0	0	not_generated	not_generated
LOX	6-month-old stage	cTECIII	3	6	6	1648	0	0	not_generated	not_generated
LOX	6-month-old stage	mTECI	3	7	7	814	0.0192308	0.0220772	not_generated	not_generated
LOX	6-month-old stage	mTECI-trans	3	6	6	216	0	0.0247253	not_generated	not_generated
LOX	6-month-old stage	mTECII	3	6	6	197	0	0.00900207	not_generated	not_generated
LOX	6-month-old stage	mTECIII	3	7	7	155	0	0	not_generated	not_generated
LOX	6-month-old stage	mcTEC	3	7	7	122	0	0.0598557	not_generated	not_generated
LOX	6-month-old stage	mcTEC-Prolif	2	4	4	10	0	0	not_generated	not_generated
LOX	newborn stage (0-28 days)	TEC-cilliated	1	2	2	18	0	0	not_generated	not_generated
LOX	newborn stage (0-28 days)	TEC-myo	1	3	3	98	0	0	not_generated	not_generated
LOX	newborn stage (0-28 days)	TEC-neuro	2	4	4	14	0	0	not_generated	not_generated
LOX	newborn stage (0-28 days)	cTECI	2	4	4	1583	0.0080214	0.0124444	not_generated	not_generated
LOX	newborn stage (0-28 days)	cTECII	2	3	3	576	0.00545455	0.0284849	not_generated	not_generated
LOX	newborn stage (0-28 days)	cTECIII	2	4	4	171	0	0.00657895	not_generated	not_generated
LOX	newborn stage (0-28 days)	mTECI	2	4	4	1000	0.0309767	0.0654884	not_generated	not_generated
LOX	newborn stage (0-28 days)	mTECI-trans	1	2	2	63	0	0	not_generated	not_generated
LOX	newborn stage (0-28 days)	mTECII	2	4	4	169	0	0.0037594	not_generated	not_generated
LOX	newborn stage (0-28 days)	mTECIII	2	4	4	135	0.0119048	0.0134151	not_generated	not_generated
LOX	newborn stage (0-28 days)	mcTEC	2	4	4	2513	0.0314136	0.0314493	not_generated	not_generated
LOX	newborn stage (0-28 days)	mcTEC-Prolif	1	2	2	43	0.137784	0.137784	not_generated	not_generated
LOXL1	10-month-old stage	TEC-cilliated	1	2	2	21	0.0714285	0.0714285	not_generated	not_generated
LOXL1	10-month-old stage	TEC-myo	1	2	2	52	0.0555555	0.0555555	not_generated	not_generated
LOXL1	10-month-old stage	TEC-neuro	1	2	2	29	0.0263158	0.0263158	not_generated	not_generated
LOXL1	10-month-old stage	cTECI	1	2	2	109	0.0093458	0.0093458	not_generated	not_generated
LOXL1	10-month-old stage	cTECII	1	2	2	89	0.00694445	0.00694445	not_generated	not_generated
LOXL1	10-month-old stage	cTECIII	1	2	2	77	0	0	not_generated	not_generated
LOXL1	10-month-old stage	mTECI	1	2	2	263	0.135573	0.135573	not_generated	not_generated
LOXL1	10-month-old stage	mTECI-trans	1	2	2	20	0.0263158	0.0263158	not_generated	not_generated
LOXL1	10-month-old stage	mTECII	1	2	2	45	0.057143	0.057143	not_generated	not_generated
LOXL1	10-month-old stage	mTECIII	1	2	2	317	0.0388035	0.0388035	not_generated	not_generated
LOXL1	10-month-old stage	mcTEC	1	2	2	220	0.0766509	0.0766509	not_generated	not_generated
LOXL1	10-month-old stage	mcTEC-Prolif	1	1	1	4	0	0	not_generated	not_generated
