gene	donor_id	sample	development_stage	sex	cell_type_level_4_explore	n_cells	n_detected	detection_fraction	matrix_used
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	cTECIII	36	0	0	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTECI	28	1	0.0357143	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTECI-trans	1	0	0	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTECII	9	0	0	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTECIII	8	0	0	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mcTEC	14	1	0.0714286	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mcTEC-Prolif	2	1	0.5	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	cTECI	4	0	0	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	cTECII	7	0	0	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	cTECIII	19	0	0	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mTECI	31	0	0	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mTECI-trans	1	0	0	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mTECII	14	0	0	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mTECIII	7	0	0	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mcTEC	7	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	TEC-cilliated	1	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	TEC-myo	5	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	TEC-neuro	3	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	cTECI	6	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	cTECII	35	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	cTECIII	61	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	mTECI	69	3	0.0434783	X
LOX	U09	TA9260013	6-month-old stage	female	mTECI-trans	5	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	mTECII	18	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	mTECIII	23	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	mcTEC	4	1	0.25	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	TEC-cilliated	3	0	0	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	TEC-myo	53	0	0	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	TEC-neuro	1	0	0	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	cTECI	830	28	0.0337349	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	cTECII	25	2	0.08	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	cTECIII	25	0	0	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTECI	118	3	0.0254237	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTECI-trans	1	0	0	X
