match_window	gene	young_mean_detection	aged_mean_detection	detection_delta	detection_ratio	young_mean_log2CPM	aged_mean_log2CPM	log2CPM_delta	all_young_above_all_aged_detection	all_young_above_all_aged_log2CPM	n_young_samples	n_aged_samples	young_detection_values	aged_detection_values	young_log2CPM_values	aged_log2CPM_values	excluded_lox_family	excluded_mitochondrial	excluded_ribosomal	background_included
broad	Kmt2d	0.09288530465949821	0.14149419324304646	0.048608888583548254	1.5233216251132535	3.4683618113268864	4.786402395773694	1.3180405844468073	False	False	2	2	0.103333;0.0824373	0.149306;0.133683	3.70907;3.22765	4.88715;4.68565	False	False	False	True
broad	5730414N17Rik	0.04125448028673835	0.013497524392019804	-0.02775695589471855	0.32717717683523245	2.455862816841244	1.6224627690182387	-0.8334000478230055	True	True	2	2	0.0466667;0.0358423	0.0138889;0.0131062	2.69822;2.21351	1.62267;1.62226	False	False	False	True
broad	Rhebl1	0.06967741935483872	0.03138652249890782	-0.0382908968559309	0.4504547210491399	3.0564705337831324	2.508371870615372	-0.5480986631677602	True	False	2	2	0.0533333;0.0860215	0.0208333;0.0419397	2.77737;3.33557	2.04235;2.97439	False	False	False	True
broad	Lmbr1l	0.1414336917562724	0.14326443497888453	0.001830743222612119	1.012944180413299	4.238526177639525	4.816630640018228	0.578104462378703	False	False	2	2	0.146667;0.136201	0.142361;0.144168	4.27053;4.20652	4.83555;4.79771	False	False	False	True
broad	4930578M01Rik	0.051881720430107525	0.029190785641473718	-0.022690934788633807	0.5626410496698562	2.771633553524524	2.4464266493767424	-0.32520690414778164	True	True	2	2	0.05;0.0537634	0.0243056;0.034076	2.8524;2.69087	2.21382;2.67903	False	False	False	True
broad	C1ql4	0.01921146953405018	0.000655307994757536	-0.018556161539292643	0.0341102482345807	1.999359580747191	0.13622441478565303	-1.8631351659615378	True	True	2	2	0.0133333;0.0250896	0;0.00131062	1.67627;2.32245	0;0.272449	False	False	False	True
broad	Kcnh3	0.03817204301075269	0.018084680355322555	-0.020087362655430138	0.4737676825478866	2.495137800499445	2.263374774976695	-0.23176302552275008	True	False	2	2	0.0333333;0.0430108	0.0138889;0.0222805	2.22033;2.76995	1.84772;2.67903	False	False	False	True
broad	1700120C14Rik	0.04163082437275986	0.019820791466433667	-0.021810032906326195	0.4761085509371496	2.474604552533642	2.1071420538814962	-0.367462498652146	True	True	2	2	0.0366667;0.046595	0.0173611;0.0222805	2.43082;2.51839	1.84772;2.36657	False	False	False	True
broad	Prpf40b	0.08967741935483872	0.06899392019804865	-0.020683499156790075	0.7693566640789596	3.3871096310252202	3.6969628473976988	0.30985321637247853	True	False	2	2	0.0933333;0.0860215	0.0763889;0.061599	3.4916;3.28262	3.80699;3.58693	False	False	False	True
broad	Fmnl3	0.03292114695340502	0.00871468618028251	-0.02420646077312251	0.26471392970047036	2.271390865399244	1.3844394318923199	-0.8869514335069242	True	True	2	2	0.03;0.0358423	0.00694444;0.0104849	2.22033;2.32245	1.35591;1.41297	False	False	False	True
broad	Nckap5l	0.04483870967741936	0.057658002038735987	0.012819292361316625	1.2858978871948312	2.6380712104275004	3.315038842524479	0.6769676320969786	False	False	2	2	0.0466667;0.0430108	0.0694444;0.0458716	2.8524;2.42374	3.51061;3.11947	False	False	False	True
broad	Bcdin3d	0.10043010752688172	0.06571738022426096	-0.03471272730262076	0.6543593534107355	3.533093799513064	3.5326595347550858	-0.0004342647579780312	True	False	2	2	0.0933333;0.107527	0.0763889;0.0550459	3.4916;3.57459	3.75239;3.31293	False	False	False	True
