dataset	donor_id	sample_id	development_stage	sex	celltypes	cell_count
CELLxGENE_Park_TEC	F38	F38_TH_45N_2	13th week post-fertilization stage	male	TEC(neuro)	1
CELLxGENE_Park_TEC	F38	F38_TH_45N_2	13th week post-fertilization stage	male	mTEC(I)	8
CELLxGENE_Park_TEC	F38	F38_TH_45N_2	13th week post-fertilization stage	male	mTEC(II)	3
CELLxGENE_Park_TEC	F41	F41_TH_45N	17th week post-fertilization stage	female	TEC(myo)	2
CELLxGENE_Park_TEC	F41	F41_TH_45N	17th week post-fertilization stage	female	mTEC(I)	1
CELLxGENE_Park_TEC	F41	F41_TH_45N	17th week post-fertilization stage	female	mcTEC	1
CELLxGENE_Park_TEC	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	TEC(myo)	2
CELLxGENE_Park_TEC	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	TEC(neuro)	2
CELLxGENE_Park_TEC	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	mTEC(II)	1
CELLxGENE_Park_TEC	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	mcTEC	2
CELLxGENE_Park_TEC	F45	F45_TH_45N	12th week post-fertilization stage	female	TEC(neuro)	1
CELLxGENE_Park_TEC	F45	F45_TH_45N	12th week post-fertilization stage	female	mTEC(I)	2
CELLxGENE_Park_TEC	F45	F45_TH_45N	12th week post-fertilization stage	female	mcTEC	1
CELLxGENE_Park_TEC	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	TEC(neuro)	2
CELLxGENE_Park_TEC	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	mTEC(I)	4
CELLxGENE_Park_TEC	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	mTEC(II)	1
CELLxGENE_Park_TEC	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	mcTEC	2
CELLxGENE_Park_TEC	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	cTEC	3
CELLxGENE_Park_TEC	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	mTEC(I)	1
CELLxGENE_Park_TEC	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	mTEC(IV)	1
CELLxGENE_Park_TEC	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	mcTEC	4
CELLxGENE_Park_TEC	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	TEC(neuro)	2
CELLxGENE_Park_TEC	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	cTEC	4
CELLxGENE_Park_TEC	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	mTEC(I)	1
CELLxGENE_Park_TEC	F67	F67_TH_TOT_5GEX_1	12th week post-fertilization stage	female	mTEC(I)	1
CELLxGENE_Park_TEC	F67	F67_TH_TOT_5GEX_2	12th week post-fertilization stage	female	mTEC(III)	1
CELLxGENE_Park_TEC	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	TEC(neuro)	2
CELLxGENE_Park_TEC	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	cTEC	1
CELLxGENE_Park_TEC	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	mcTEC	3
CELLxGENE_Park_TEC	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	cTEC	2
CELLxGENE_Park_TEC	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	mTEC(I)	2
CELLxGENE_Park_TEC	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	mTEC(II)	1
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	TEC(neuro)	1
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	cTEC	16
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mTEC(I)	1
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mTEC(II)	1
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mcTEC	12
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	TEC(myo)	2
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	cTEC	5
CELLxGENE_Park_TEC	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	mcTEC	8
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	TEC(myo)	7
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	TEC(neuro)	9
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	cTEC	34
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(I)	132
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(II)	47
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(III)	12
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(IV)	2
CELLxGENE_Park_TEC	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mcTEC	241
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	TEC(myo)	16
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	TEC(neuro)	44
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	cTEC	235
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(I)	852
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(II)	357
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(III)	116
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(IV)	28
CELLxGENE_Park_TEC	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mcTEC	396
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	TEC(myo)	2
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	TEC(neuro)	1
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	cTEC	30
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(I)	44
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(II)	19
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(III)	7
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(IV)	3
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mcTEC	34
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	TEC(neuro)	4
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	cTEC	18
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mTEC(I)	34
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mTEC(II)	16
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mTEC(III)	9
CELLxGENE_Park_TEC	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mcTEC	18
