analysis_group	gene	age_week	n_mice	total_cells	mean_log2_cpm_plus1	median_log2_cpm_plus1	mean_detection_rate	median_detection_rate
mTEChi	Loxl3	32	5	143	5.2875969894359915	5.372840805563794	0.28108203624332656	0.26666666666666666
mTEChi	Loxl3	52	5	151	5.51341105475513	5.146431031817588	0.3262537136066548	0.2909090909090909
mTEChi	Loxl4	1	5	129	5.756404763238178	5.487095916377702	0.8007458770614694	0.782608695652174
mTEChi	Loxl4	4	5	193	5.017295839188702	5.156051528886241	0.5921639670360899	0.6086956521739131
mTEChi	Loxl4	16	5	99	5.678572750624715	5.7505093488842585	0.6429838022165388	0.6666666666666666
mTEChi	Loxl4	32	5	143	5.583627270110439	5.456777846452762	0.6788130686517784	0.7333333333333333
mTEChi	Loxl4	52	5	151	5.170765874594444	5.085532489803554	0.6417320261437909	0.625
mTEClo	Lox	1	5	92	3.5105273339967185	3.5009557938075253	0.2669119769119769	0.2222222222222222
mTEClo	Lox	4	5	132	3.158867759187282	2.645283381887384	0.21060888474681577	0.25
mTEClo	Lox	16	5	93	4.564901364494775	4.4440815971697765	0.24073475544063777	0.25
mTEClo	Lox	32	5	129	4.3219480750290185	4.886101447501389	0.21646641857168172	0.2
mTEClo	Lox	52	4	136	5.080528439795013	5.079684149251392	0.2867828216760834	0.27475409836065573
mTEClo	Loxl1	1	5	92	8.174131233823958	8.167310672683783	0.9125925925925926	1.0
mTEClo	Loxl1	4	5	132	7.967127374494443	7.723336331457256	0.8032339639236191	0.8
mTEClo	Loxl1	16	5	93	7.833601404152693	7.944895481977414	0.7821590174531351	0.7619047619047619
mTEClo	Loxl1	32	5	129	7.639374532656371	7.332221941895781	0.7781782739677476	0.8148148148148148
mTEClo	Loxl1	52	4	136	7.6444989217087675	7.575616992316213	0.8043505246458292	0.8226229508196721
mTEClo	Loxl2	1	5	92	4.389471657874287	3.935485690684002	0.3553246753246753	0.4
mTEClo	Loxl2	4	5	132	3.3836893300989344	3.0836794014974465	0.1941270782650093	0.2
mTEClo	Loxl2	16	5	93	2.123189238432893	1.9136510733799081	0.12318465847877613	0.14285714285714285
mTEClo	Loxl2	32	5	129	0.735213300995174	0.6293432396908587	0.06911217437533226	0.02631578947368421
mTEClo	Loxl2	52	4	136	0.8538461356680991	0.43904219052619947	0.04438030560271647	0.03612903225806452
mTEClo	Loxl3	1	5	92	3.688998487624745	4.587921837363152	0.16467051467051466	0.18181818181818182
mTEClo	Loxl3	4	5	132	4.470202182272574	4.855221549614342	0.18697191593743318	0.2
mTEClo	Loxl3	16	5	93	4.549396653026994	5.183726164175176	0.22448825684119803	0.23809523809523808
mTEClo	Loxl3	32	5	129	4.219800725214645	5.370741635967923	0.1958709906078327	0.25925925925925924
mTEClo	Loxl3	52	4	136	3.129777901650694	3.4022929506060455	0.12193019566367001	0.10451612903225807
mTEClo	Loxl4	1	5	92	5.338826425060927	5.450695749949753	0.6297594997594997	0.6363636363636364
mTEClo	Loxl4	4	5	132	5.649218826798107	5.8366265856200785	0.5287442659856454	0.5517241379310345
mTEClo	Loxl4	16	5	93	5.879923969664358	5.950357884812525	0.5755225166989872	0.47619047619047616
mTEClo	Loxl4	32	5	129	5.231845735304496	5.551511019345999	0.5252950558213716	0.5263157894736842
mTEClo	Loxl4	52	4	136	5.412611301985302	5.444359101437268	0.4857594144006234	0.4873083024854574
