gene	development_stage	celltypes	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL2	15th week post-fertilization stage	TEC(neuro)	1	1	1	1	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	cTEC	1	1	1	7	0.142857	0.142857	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mTEC(I)	1	1	1	7	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mTEC(III)	1	1	1	1	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOXL2	16th week post-fertilization stage	TEC(myo)	1	1	1	4	0	0	not_generated	not_generated
LOXL2	16th week post-fertilization stage	TEC(neuro)	1	1	1	19	0	0	not_generated	not_generated
LOXL2	16th week post-fertilization stage	cTEC	1	1	1	7	0	0	not_generated	not_generated
LOXL2	16th week post-fertilization stage	mTEC(I)	1	1	1	10	0	0	not_generated	not_generated
LOXL2	16th week post-fertilization stage	mTEC(II)	1	1	1	3	0	0	not_generated	not_generated
LOXL2	16th week post-fertilization stage	mcTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	TEC(myo)	2	3	3	11	0.5	0.47619	not_generated	not_generated
LOXL2	17th week post-fertilization stage	TEC(neuro)	2	2	2	11	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	cTEC	1	1	1	34	0.0294118	0.0294118	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mTEC(I)	2	2	2	133	0.068182	0.068182	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mTEC(II)	2	2	2	48	0.074468	0.074468	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mTEC(III)	1	1	1	12	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mTEC(IV)	1	1	1	2	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mcTEC	2	3	3	244	0	0.0248963	not_generated	not_generated
LOXL2	3-month-old stage	TEC(myo)	1	2	2	18	0.6875	0.6875	not_generated	not_generated
LOXL2	3-month-old stage	TEC(neuro)	1	3	3	49	0	0.030303	not_generated	not_generated
LOXL2	3-month-old stage	cTEC	1	3	3	283	0	0.00851063	not_generated	not_generated
LOXL2	3-month-old stage	mTEC(I)	1	3	3	930	0.0227273	0.031096	not_generated	not_generated
LOXL2	3-month-old stage	mTEC(II)	1	3	3	392	0.0526316	0.0551839	not_generated	not_generated
LOXL2	3-month-old stage	mTEC(III)	1	3	3	132	0	0.00287356	not_generated	not_generated
LOXL2	3-month-old stage	mTEC(IV)	1	2	2	31	0	0	not_generated	not_generated
LOXL2	3-month-old stage	mcTEC	1	3	3	448	0.0555556	0.0745692	not_generated	not_generated
LOXL2	9th week post-fertilization stage	TEC(neuro)	1	1	1	2	0	0	not_generated	not_generated
LOXL2	9th week post-fertilization stage	cTEC	1	1	1	60	0.0166667	0.0166667	not_generated	not_generated
