gene,annotation_level,cell_type_or_subtype,age_comparison,n_young_samples,n_aged_samples,young_cell_count,aged_cell_count,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance_label,direction,status,gene_present
Loxl4,subtype,15:mTEC2,18mo_vs_02mo,2,2,928,452,2.2069817123180817,-0.9439331486190723,2.3886274847659514,-0.395178048749432,0.692711491617883,,padj_NA,down_in_aged,ok,True
Lox,subtype,16:mimetic(basal),18mo_vs_02mo,2,2,123,40,0.866738850422203,-0.0030777863625488155,2.9201541489895,-0.001053980785094466,0.9991590451598896,,padj_NA,down_in_aged,ok,True
Loxl1,subtype,16:mimetic(basal),18mo_vs_02mo,2,2,123,40,0.48114457556167967,-1.6998635594885643,4.538660215770818,-0.374529812472395,0.7080101807260384,,padj_NA,down_in_aged,ok,True
Loxl2,subtype,16:mimetic(basal),18mo_vs_02mo,2,2,123,40,0.6261665626413632,1.37081585378069,3.6211061015962445,0.3785627416927693,0.705012594174788,,padj_NA,up_in_aged,ok,True
Loxl3,subtype,16:mimetic(basal),18mo_vs_02mo,2,2,123,40,0.12028614389041992,0.10766519670869401,5.357902630813628,0.020094653473078223,0.9839678651959822,,padj_NA,up_in_aged,ok,True
Loxl4,subtype,16:mimetic(basal),18mo_vs_02mo,2,2,123,40,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,17:mimetic(tuft),18mo_vs_02mo,2,2,243,162,0.4854548452486758,0.3563110041944593,4.2389086501869855,0.08405725001380764,0.9330109138483994,,padj_NA,up_in_aged,ok,True
Loxl1,subtype,17:mimetic(tuft),18mo_vs_02mo,2,2,243,162,3.029755962617939,-0.8021344286124709,1.6807793899636094,-0.47723956719259736,0.6331915388172122,,padj_NA,down_in_aged,ok,True
Loxl2,subtype,17:mimetic(tuft),18mo_vs_02mo,2,2,243,162,0.44258993956264303,-2.1158549034865066,4.657220790605357,-0.4543170699045777,0.6496006317033554,,padj_NA,down_in_aged,ok,True
Loxl3,subtype,17:mimetic(tuft),18mo_vs_02mo,2,2,243,162,0.2781773956314919,1.7744668716963232,5.343316423428827,0.3320909208962102,0.739820605555134,,padj_NA,up_in_aged,ok,True
Loxl4,subtype,17:mimetic(tuft),18mo_vs_02mo,2,2,243,162,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,18:mimetic(neuroendo),18mo_vs_02mo,2,2,87,121,0.14901253920074783,0.8469250033568729,5.369208806206219,0.15773739370648432,0.8746637334206604,,padj_NA,up_in_aged,ok,True
Loxl1,subtype,18:mimetic(neuroendo),18mo_vs_02mo,2,2,87,121,2.43788710555898,-1.8293598808703453,2.063899500912187,-0.8863609299105012,0.37542306564196826,,padj_NA,down_in_aged,ok,True
Loxl2,subtype,18:mimetic(neuroendo),18mo_vs_02mo,2,2,87,121,1.9889487082049915,-2.308245048403328,2.1770791685251805,-1.0602485576888796,0.28903153557188876,,padj_NA,down_in_aged,ok,True
Loxl3,subtype,18:mimetic(neuroendo),18mo_vs_02mo,2,2,87,121,0.61033660786574,-0.2489879561682226,3.868078543495174,-0.06436993286678157,0.948675670456822,,padj_NA,down_in_aged,ok,True
Loxl4,subtype,18:mimetic(neuroendo),18mo_vs_02mo,2,2,87,121,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,19:mimetic(goblet),18mo_vs_02mo,2,2,41,119,7.15884966578998,0.15183577486660907,0.9198894205562874,0.1650587249658649,0.8688977600387489,,padj_NA,up_in_aged,ok,True
Loxl1,subtype,19:mimetic(goblet),18mo_vs_02mo,2,2,41,119,0.8784964405014527,2.285193786881998,4.787097340780204,0.47736522243133567,0.633102074324685,,padj_NA,up_in_aged,ok,True
Loxl2,subtype,19:mimetic(goblet),18mo_vs_02mo,2,2,41,119,0.12549949150020753,-0.5288648993775361,5.349460679679729,-0.09886321837759525,0.9212468732724524,,padj_NA,down_in_aged,ok,True
Loxl3,subtype,19:mimetic(goblet),18mo_vs_02mo,2,2,41,119,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Loxl4,subtype,19:mimetic(goblet),18mo_vs_02mo,2,2,41,119,0.12089602626672935,-0.5560673531923062,5.353113189657944,-0.10387737630256198,0.917266661058365,,padj_NA,down_in_aged,ok,True
Lox,subtype,1:capEC,18mo_vs_02mo,3,1,588,490,0.5185671838314977,-2.8271410723916706,5.777304554988025,-0.4893529578513851,0.62459183442621,0.9997764860265291,not_significant,down_in_aged,ok,True
Loxl1,subtype,1:capEC,18mo_vs_02mo,3,1,588,490,3.2221413241645127,-5.60005146847653,3.853960764656344,-1.4530639543176262,0.14620599794728945,0.9997764860265291,not_significant,down_in_aged,ok,True
Loxl2,subtype,1:capEC,18mo_vs_02mo,3,1,588,490,2.38444611999922,1.2080618172690116,2.0660834929367766,0.5847110348632842,0.5587420329589984,0.9997764860265291,not_significant,up_in_aged,ok,True
Loxl3,subtype,1:capEC,18mo_vs_02mo,3,1,588,490,0.6291511170830749,-0.3524488707171099,4.251867250192057,-0.08289272688398015,0.9339368372448204,0.9997764860265291,not_significant,down_in_aged,ok,True
Loxl4,subtype,1:capEC,18mo_vs_02mo,3,1,588,490,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,20:mimetic(microfold),18mo_vs_02mo,2,1,28,13,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Loxl1,subtype,20:mimetic(microfold),18mo_vs_02mo,2,1,28,13,0.49120419981871827,-1.6668495759667439,5.565098059802499,-0.2995184555698375,0.7645444924971474,0.9997607667239906,not_significant,down_in_aged,ok,True
Loxl2,subtype,20:mimetic(microfold),18mo_vs_02mo,2,1,28,13,1.6666666666666667,-3.384080640364037,5.847381622315079,-0.5787343564937739,0.5627684301239275,0.9997607667239906,not_significant,down_in_aged,ok,True
Loxl3,subtype,20:mimetic(microfold),18mo_vs_02mo,2,1,28,13,2.5711662041291983,-1.3225253712945173,2.8864419150468827,-0.45818534036671804,0.6468192910226239,0.9997607667239906,not_significant,down_in_aged,ok,True
Loxl4,subtype,20:mimetic(microfold),18mo_vs_02mo,2,1,28,13,0.24560209990935913,-0.7955103498843934,5.5698656988370185,-0.1428239733052262,0.8864292032197996,0.9997607667239906,not_significant,down_in_aged,ok,True
Lox,subtype,2:venEC,18mo_vs_02mo,3,1,173,76,0.645564453158521,-2.8368007566683597,5.215147296848554,-0.543954100468572,0.5864730586599658,0.9995340279615033,not_significant,down_in_aged,ok,True
Loxl1,subtype,2:venEC,18mo_vs_02mo,3,1,173,76,0.5533409598501607,-1.8194156449395216,5.557236815990367,-0.3273957373391653,0.7433685900890059,0.9995340279615033,not_significant,down_in_aged,ok,True
Loxl2,subtype,2:venEC,18mo_vs_02mo,3,1,173,76,0.4772322793384881,2.160105204132211,4.455635212971171,0.4848029744095182,0.6278161126243451,0.9995340279615033,not_significant,up_in_aged,ok,True
Loxl3,subtype,2:venEC,18mo_vs_02mo,3,1,173,76,0.4580976804851784,-2.2651204758115235,5.4475736663273215,-0.41580355118697027,0.6775537600765799,0.9995340279615033,not_significant,down_in_aged,ok,True
Loxl4,subtype,2:venEC,18mo_vs_02mo,3,1,173,76,0.09222349330836013,-1.2809771713291933,6.444418748186161,-0.1987731122670661,0.8424402295829176,0.9995340279615033,not_significant,down_in_aged,ok,True
Lox,subtype,3:capsFB,18mo_vs_02mo,3,3,2598,1268,171.7205764931616,-1.4619832662650787,0.29167546436029873,-5.0123628652533165,5.37656913172565e-07,7.52478034885109e-05,FDR<0.05,down_in_aged,ok,True
Loxl1,subtype,3:capsFB,18mo_vs_02mo,3,3,2598,1268,1643.6602178820428,-0.2539896112183952,0.1469059742190009,-1.7289263596574962,0.08382227566267009,0.4824702101144022,not_significant,down_in_aged,ok,True
Loxl2,subtype,3:capsFB,18mo_vs_02mo,3,3,2598,1268,208.0955612130696,0.14671348455806352,0.1867331044900695,0.7856854571057902,0.43205178526538246,0.8661897693973287,not_significant,up_in_aged,ok,True
Loxl3,subtype,3:capsFB,18mo_vs_02mo,3,3,2598,1268,114.54520997653623,-0.18434599994550566,0.21582655581861945,-0.8541395624198811,0.3930276654916106,0.8480762601501095,not_significant,down_in_aged,ok,True
Loxl4,subtype,3:capsFB,18mo_vs_02mo,3,3,2598,1268,4.81750227321727,0.4569331626702036,1.059318678418629,0.43134627188139646,0.6662166101069448,0.9448631146652802,not_significant,up_in_aged,ok,True
Lox,subtype,4:intFB,18mo_vs_02mo,3,3,2691,1880,250.7972382097565,-0.625956479206368,0.21955824799825147,-2.8509813906483394,0.004358452021645731,0.07163754013478481,nominal_p<0.05,down_in_aged,ok,True
