analysis_group	gene	biological_mouse_id	age_week	n_cells	summed_raw_counts	total_counts_all_features	detection_rate	mean_logcounts	SortDay	PlateID	run_fields	cpm	log2_cpm_plus1
mTEClo	Loxl2	wk52_mouse2	52	31	7	20444490	0.03225806451612903		2	B002284;B002294	ERR3825630;ERR3825633;ERR3825636;ERR3825642;ERR3825645;ERR3825648;ERR3825769;ERR3825779;ERR3825782;ERR3825785;ERR3825790;ERR3825829	0.34239054141238057	0.4248044555853031
mTEClo	Loxl2	wk52_mouse3	52	25	8	21671440	0.04		3	B002290;B002291	ERR3825619;ERR3825621;ERR3825625;ERR3825634;ERR3825637;ERR3825643;ERR3825646;ERR3825649;ERR3825765;ERR3825766;ERR3825770;ERR3825777	0.36914944276891615	0.45327992546709583
mTEClo	Loxl2	wk52_mouse5	52	61	0	74975446	0.0		5	B002336;B002345;B002450	ERR3827442;ERR3827535;ERR3827537;ERR3827544;ERR3827555;ERR3827561;ERR3827571;ERR3827584;ERR3827587;ERR3827591;ERR3827593;ERR3827595	0.0	0.0
mTEClo	Loxl3	wk16_mouse1	16	4	263	7440721	0.25		1	B002285	ERR3819869;ERR3820043;ERR3820050;ERR3821306	35.34603703055121	5.183726164175176
mTEClo	Loxl3	wk16_mouse2	16	34	890	41916479	0.17647058823529413		2	B002283;B002288;B002295	ERR3819868;ERR3819876;ERR3819883;ERR3819905;ERR3819908;ERR3819917;ERR3819951;ERR3819955;ERR3819959;ERR3819970;ERR3819974;ERR3819997	21.232699435465463	4.474611222097161
mTEClo	Loxl3	wk16_mouse3	16	13	22	16476792	0.07692307692307693		3	B002292;B002293	ERR3819870;ERR3819893;ERR3819896;ERR3819953;ERR3819972;ERR3819976;ERR3821238;ERR3821313;ERR3821315;ERR3821319;ERR3821385;ERR3821387	1.3352113688149974	1.2235531396309154
mTEClo	Loxl3	wk16_mouse4	16	21	3490	38185280	0.38095238095238093		4	B001629;B001632	ERR3819844;ERR3819852;ERR3819864;ERR3819927;ERR3819931;ERR3819938;ERR3819939;ERR3819942;ERR3819943;ERR3820001;ERR3820002;ERR3820010	91.39647529100219	6.529765912143604
mTEClo	Loxl3	wk16_mouse5	16	21	754	19150071	0.23809523809523808		5	B002337;B002449;B002450;B002451	ERR3821225;ERR3821226;ERR3821227;ERR3821230;ERR3821231;ERR3821232;ERR3821253;ERR3821264;ERR3821295;ERR3821296;ERR3821297;ERR3821308	39.373222167165856	5.335326827088117
mTEClo	Loxl3	wk1_mouse1	1	5	0	8623023	0.0		1	B002229	ERR3814494;ERR3814583;ERR3814651;ERR3814663;ERR3814675	0.0	0.0
mTEClo	Loxl3	wk1_mouse2	1	27	2551	58758319	0.2962962962962963		2	B002284;B002288;B002295	ERR3814487;ERR3814499;ERR3814507;ERR3814511;ERR3814517;ERR3814564;ERR3814572;ERR3814580;ERR3814592;ERR3814602;ERR3814612;ERR3814648	43.415129013476374	5.472979276754003
mTEClo	Loxl3	wk1_mouse3	1	21	484	51078120	0.09523809523809523		3	B002291;B002293;B002298	ERR3814496;ERR3814565;ERR3814573;ERR3814585;ERR3814589;ERR3814665;ERR3814677;ERR3814734;ERR3814746;ERR3814750;ERR3814754;ERR3814758	9.47568156384769	3.3889722058091523
mTEClo	Loxl3	wk1_mouse4	1	11	646	20911616	0.18181818181818182		4	B001629;B001632	ERR3814518;ERR3814542;ERR3814620;ERR3814639;ERR3814688;ERR3814708;ERR3814712;ERR3814728;ERR3814797;ERR3814809;ERR3814813	30.891921504296942	4.995119118197417
mTEClo	Loxl3	wk1_mouse5	1	28	901	39090157	0.25		5	B002337;B002345;B002449	ERR3814480;ERR3815685;ERR3815812;ERR3815814;ERR3815816;ERR3815820;ERR3815837;ERR3815841;ERR3815890;ERR3815894;ERR3815896;ERR3815898	23.04928066674176	4.587921837363152
mTEClo	Loxl3	wk32_mouse1	32	15	0	25288015	0.0		1	B002229;B002287;B002297	ERR3823390;ERR3823393;ERR3823414;ERR3823420;ERR3823442;ERR3823453;ERR3823456;ERR3824411;ERR3824426;ERR3824436;ERR3824480;ERR3824555	0.0	0.0
mTEClo	Loxl3	wk32_mouse2	32	27	920	22785500	0.25925925925925924		2	B002284;B002294	ERR3823339;ERR3823342;ERR3823345;ERR3823355;ERR3823391;ERR3823397;ERR3823460;ERR3823470;ERR3823473;ERR3823507;ERR3823510;ERR3824391	40.37655526541002	5.370741635967923
mTEClo	Loxl3	wk32_mouse3	32	38	1286	27429291	0.2631578947368421		3	B002290;B002291;B002293	ERR3823343;ERR3823346;ERR3823350;ERR3823353;ERR3823356;ERR3823359;ERR3823360;ERR3823362;ERR3823364;ERR3823365;ERR3823395;ERR3823398	46.884186689331486	5.581477392780179
mTEClo	Loxl3	wk32_mouse4	32	11	1296	26751892	0.2727272727272727		4	B002301	ERR3824418;ERR3824423;ERR3824433;ERR3824438;ERR3824443;ERR3824470;ERR3824489;ERR3824494;ERR3824564;ERR3824621;ERR3824665	48.4451716536535	5.6277577428398535
mTEClo	Loxl3	wk32_mouse5	32	38	673	30691615	0.18421052631578946		5	B002336;B002345;B002449	ERR3824374;ERR3824389;ERR3824395;ERR3824396;ERR3824400;ERR3824402;ERR3824408;ERR3824419;ERR3824429;ERR3824434;ERR3824444;ERR3824454	21.927813182851406	4.51902685448527
mTEClo	Loxl3	wk4_mouse1	4	5	188	5472738	0.2		1	B002297	ERR3818228;ERR3818342;ERR3818367;ERR3818443;ERR3818453	34.35209213377289	5.143723691016961
mTEClo	Loxl3	wk4_mouse2	4	33	1193	30574563	0.15151515151515152		2	B002283;B002294;B002295;B002296	ERR3817114;ERR3817181;ERR3817185;ERR3817245;ERR3817277;ERR3817297;ERR3817305;ERR3817309;ERR3817313;ERR3817317;ERR3817345;ERR3817369	39.019363907179965	5.322626331215221
mTEClo	Loxl3	wk4_mouse3	4	28	598	38915511	0.21428571428571427		3	B002290;B002292;B002298	ERR3817123;ERR3817126;ERR3817128;ERR3817144;ERR3817163;ERR3817167;ERR3817179;ERR3817187;ERR3817188;ERR3817195;ERR3817235;ERR3817247	15.366623349748638	4.032684800385266
mTEClo	Loxl3	wk4_mouse4	4	37	407	58292556	0.16216216216216217		4	B001629;B001632;B002301	ERR3817130;ERR3817133;ERR3817145;ERR3817146;ERR3817149;ERR3817153;ERR3817196;ERR3817201;ERR3817204;ERR3817205;ERR3817212;ERR3817217	6.982023570899859	2.9967545391310844
mTEClo	Loxl3	wk4_mouse5	4	29	1159	41474941	0.20689655172413793		5	B002336;B002337;B002450	ERR3818090;ERR3818221;ERR3818236;ERR3818246;ERR3818307;ERR3818313;ERR3818345;ERR3818355;ERR3818395;ERR3818425;ERR3818427;ERR3818428	27.94458465896311	4.855221549614342
mTEClo	Loxl3	wk52_mouse1	52	19	0	21019699	0.0		1	B002229;B002285;B002297	ERR3825647;ERR3825778;ERR3825865;ERR3827444;ERR3827558;ERR3827568;ERR3827580;ERR3827608;ERR3827618;ERR3827625;ERR3827630;ERR3827640	0.0	0.0
mTEClo	Loxl3	wk52_mouse2	52	31	514	20444490	0.12903225806451613		2	B002284;B002294	ERR3825630;ERR3825633;ERR3825636;ERR3825642;ERR3825645;ERR3825648;ERR3825769;ERR3825779;ERR3825782;ERR3825785;ERR3825790;ERR3825829	25.141248326566227	4.708256130877067
mTEClo	Loxl3	wk52_mouse3	52	25	71	21671440	0.08		3	B002290;B002291	ERR3825619;ERR3825621;ERR3825625;ERR3825634;ERR3825637;ERR3825643;ERR3825646;ERR3825649;ERR3825765;ERR3825766;ERR3825770;ERR3825777	3.2762013045741307	2.0963297703350245
mTEClo	Loxl3	wk52_mouse5	52	61	3862	74975446	0.2786885245901639		5	B002336;B002345;B002450	ERR3827442;ERR3827535;ERR3827537;ERR3827544;ERR3827555;ERR3827561;ERR3827571;ERR3827584;ERR3827587;ERR3827591;ERR3827593;ERR3827595	51.51019708505635	5.714525705390685
mTEClo	Loxl4	wk16_mouse1	16	4	699	7440721	1.0		1	B002285	ERR3819869;ERR3820043;ERR3820050;ERR3821306	93.94250906598971	6.568982271568857
mTEClo	Loxl4	wk16_mouse2	16	34	2550	41916479	0.5882352941176471		2	B002283;B002288;B002295	ERR3819868;ERR3819876;ERR3819883;ERR3819905;ERR3819908;ERR3819917;ERR3819951;ERR3819955;ERR3819959;ERR3819970;ERR3819974;ERR3819997	60.83526242745723	5.950357884812525
mTEClo	Loxl4	wk16_mouse3	16	13	1237	16476792	0.38461538461538464		3	B002292;B002293	ERR3819870;ERR3819893;ERR3819896;ERR3819953;ERR3819972;ERR3819976;ERR3821238;ERR3821313;ERR3821315;ERR3821319;ERR3821385;ERR3821387	75.075293782916	6.249356094949451
mTEClo	Loxl4	wk16_mouse4	16	21	1250	38185280	0.42857142857142855		4	B001629;B001632	ERR3819844;ERR3819852;ERR3819864;ERR3819927;ERR3819931;ERR3819938;ERR3819939;ERR3819942;ERR3819943;ERR3820001;ERR3820002;ERR3820010	32.73512725322428	5.076179698765136
mTEClo	Loxl4	wk16_mouse5	16	21	881	19150071	0.47619047619047616		5	B002337;B002449;B002450;B002451	ERR3821225;ERR3821226;ERR3821227;ERR3821230;ERR3821231;ERR3821232;ERR3821253;ERR3821264;ERR3821295;ERR3821296;ERR3821297;ERR3821308	46.005051365083716	5.554743898225821
mTEClo	Loxl4	wk1_mouse1	1	5	390	8623023	0.4		1	B002229	ERR3814494;ERR3814583;ERR3814651;ERR3814663;ERR3814675	45.22775829311832	5.530687499039951
mTEClo	Loxl4	wk1_mouse2	1	27	2511	58758319	0.8148148148148148		2	B002284;B002288;B002295	ERR3814487;ERR3814499;ERR3814507;ERR3814511;ERR3814517;ERR3814564;ERR3814572;ERR3814580;ERR3814592;ERR3814602;ERR3814612;ERR3814648	42.734374344507714	5.450695749949753
mTEClo	Loxl4	wk1_mouse3	1	21	2247	51078120	0.6190476190476191		3	B002291;B002293;B002298	ERR3814496;ERR3814565;ERR3814573;ERR3814585;ERR3814589;ERR3814665;ERR3814677;ERR3814734;ERR3814746;ERR3814750;ERR3814754;ERR3814758	43.991438995797026	5.49157860536734
mTEClo	Loxl4	wk1_mouse4	1	11	550	20911616	0.6363636363636364		4	B001629;B001632	ERR3814518;ERR3814542;ERR3814620;ERR3814639;ERR3814688;ERR3814708;ERR3814712;ERR3814728;ERR3814797;ERR3814809;ERR3814813	26.301171559385942	4.7708909568988025
mTEClo	Loxl4	wk1_mouse5	1	28	1670	39090157	0.6785714285714286		5	B002337;B002345;B002449	ERR3814480;ERR3815685;ERR3815812;ERR3815814;ERR3815816;ERR3815820;ERR3815837;ERR3815841;ERR3815890;ERR3815894;ERR3815896;ERR3815898	42.721752179199484	5.450279314048788
mTEClo	Loxl4	wk32_mouse1	32	15	1279	25288015	0.4		1	B002229;B002287;B002297	ERR3823390;ERR3823393;ERR3823414;ERR3823420;ERR3823442;ERR3823453;ERR3823456;ERR3824411;ERR3824426;ERR3824436;ERR3824480;ERR3824555	50.57731893942645	5.68866487667438
mTEClo	Loxl4	wk32_mouse2	32	27	1726	22785500	0.6666666666666666		2	B002284;B002294	ERR3823339;ERR3823342;ERR3823345;ERR3823355;ERR3823391;ERR3823397;ERR3823460;ERR3823470;ERR3823473;ERR3823507;ERR3823510;ERR3824391	75.74992868271488	6.262093504795048
mTEClo	Loxl4	wk32_mouse3	32	38	1259	27429291	0.5789473684210527		3	B002290;B002291;B002293	ERR3823343;ERR3823346;ERR3823350;ERR3823353;ERR3823356;ERR3823359;ERR3823360;ERR3823362;ERR3823364;ERR3823365;ERR3823395;ERR3823398	45.899837513116914	5.551511019345999
mTEClo	Loxl4	wk32_mouse4	32	11	276	26751892	0.45454545454545453		4	B002301	ERR3824418;ERR3824423;ERR3824433;ERR3824438;ERR3824443;ERR3824470;ERR3824489;ERR3824494;ERR3824564;ERR3824621;ERR3824665	10.317027296611396	3.500423142486858
mTEClo	Loxl4	wk32_mouse5	32	38	1064	30691615	0.5263157894736842		5	B002336;B002345;B002449	ERR3824374;ERR3824389;ERR3824395;ERR3824396;ERR3824400;ERR3824402;ERR3824408;ERR3824419;ERR3824429;ERR3824434;ERR3824444;ERR3824454	34.667449073631346	5.156536133220196
mTEClo	Loxl4	wk4_mouse1	4	5	151	5472738	0.4		1	B002297	ERR3818228;ERR3818342;ERR3818367;ERR3818443;ERR3818453	27.591308043615463	4.837504719223961
