analysis_group	gene	age_week	n_sample_proxy	n_cells	mean_detection_rate	median_detection_rate	mean_log2CPM1	median_log2CPM1
cTEC	Lox	52	5	124	0.2283500557413601	0.21739130434782608	3.401474783457617	4.093991939396813
cTEC	Loxl1	1	5	141	0.8457264957264957	0.9230769230769231	7.802303581531416	7.858466197926658
cTEC	Loxl1	4	5	175	0.8764075537988582	0.8888888888888888	8.032567775552067	7.806772792395947
cTEC	Loxl1	16	5	81	0.8202431610942249	0.8297872340425532	7.410024514168637	7.362072895842564
cTEC	Loxl1	32	5	144	0.7704734893589382	0.7307692307692307	7.062799267173878	6.7381065173339065
cTEC	Loxl1	52	5	124	0.8771215161649945	0.9130434782608695	7.467481889906502	7.310372493044089
cTEC	Loxl2	1	5	141	0.20922249793217534	0.1935483870967742	1.8672446544360894	2.301268187266395
cTEC	Loxl2	4	5	175	0.22188844971453667	0.2222222222222222	3.1321341322776775	3.1968649502456263
cTEC	Loxl2	16	5	81	0.06702127659574468	0.05	1.018970969052751	0.08366403873198892
cTEC	Loxl2	32	5	144	0.07041936391781593	0.05263157894736842	0.5358052971713662	0.3616614762704093
cTEC	Loxl2	52	5	124	0.018051282051282053	0.0	0.285388107651235	0.0
cTEC	Loxl3	1	5	141	0.38309897987317343	0.40384615384615385	4.5335366286238905	4.754868211535486
cTEC	Loxl3	4	5	175	0.1987878787878788	0.22727272727272727	3.702912622444812	4.6707621348024855
cTEC	Loxl3	16	5	81	0.15106382978723404	0.1	2.9282087438091504	2.453635708550069
cTEC	Loxl3	32	5	144	0.2678224252527658	0.2727272727272727	5.3161007216324645	5.430762126796161
cTEC	Loxl3	52	5	124	0.16889186176142695	0.17333333333333334	4.237750572578703	5.0639903144549425
cTEC	Loxl4	1	5	141	0.6604769782189137	0.6111111111111112	5.760121763435837	5.571886701011081
cTEC	Loxl4	4	5	175	0.5883750548967941	0.5434782608695652	5.784661645639463	5.978445617255542
cTEC	Loxl4	16	5	81	0.6389665653495441	0.5714285714285714	6.150606075301395	5.908799764387138
cTEC	Loxl4	32	5	144	0.569939812509472	0.6153846153846154	5.286836873997033	5.780667898351928
cTEC	Loxl4	52	5	124	0.5364593088071349	0.49333333333333335	5.330549879546075	5.425174635028742
mTEC_like	Lox	1	5	300	0.24895763393886047	0.23529411764705882	3.7418099041705153	4.316828818667645
mTEC_like	Lox	4	5	442	0.2411230076253804	0.248	3.77641631907053	4.144746425635641
mTEC_like	Lox	16	5	246	0.25857107816636027	0.3090909090909091	4.500653074807029	4.674105191229426
mTEC_like	Lox	32	5	374	0.2563169347100912	0.21212121212121213	4.996560717104268	5.135126245219735
mTEC_like	Lox	52	5	373	0.2568412930529068	0.25	3.7589725071586573	4.585756087145888
mTEC_like	Loxl1	1	5	300	0.9032986621221916	0.9358974358974359	8.08364329200578	8.110552577004315
mTEC_like	Loxl1	4	5	442	0.7659651050338523	0.7831325301204819	7.638760242621487	7.599837701891536
mTEC_like	Loxl1	16	5	246	0.7730696852227842	0.8085106382978723	7.605969324441827	7.535501735226731
mTEC_like	Loxl1	32	5	374	0.7553694999365528	0.7631578947368421	7.494187472502247	7.146769254890191
mTEC_like	Loxl1	52	5	373	0.8648409965429635	0.8571428571428571	7.629418754266903	7.56876837668385
mTEC_like	Loxl2	1	5	300	0.39523171863597395	0.41025641025641024	3.9870059641490507	3.8860509607413474
mTEC_like	Loxl2	4	5	442	0.2522490325053767	0.2727272727272727	3.4252954948926737	3.190713826185634
mTEC_like	Loxl2	16	5	246	0.158206206374569	0.17391304347826086	2.24678831589655	2.5948017701644166
mTEC_like	Loxl2	32	5	374	0.11783253044951185	0.12121212121212122	2.586988054992198	2.71389013091322
mTEC_like	Loxl2	52	5	373	0.11328476859869849	0.09523809523809523	1.819051992584796	1.9322904083257058
mTEC_like	Loxl3	1	5	300	0.27637727312320554	0.28431372549019607	5.134681533472086	4.997693005221622
mTEC_like	Loxl3	4	5	442	0.24374526238431593	0.248	5.4875874856596045	5.440128619780652
mTEC_like	Loxl3	16	5	246	0.2002820994402863	0.25	4.810095667072398	4.87059226764436
mTEC_like	Loxl3	32	5	374	0.23387553060902025	0.24242424242424243	5.209999360386855	5.0454894003894
mTEC_like	Loxl3	52	5	373	0.2557073671489446	0.22058823529411764	5.189214451458784	5.056075701760053
mTEC_like	Loxl4	1	5	300	0.6945392946644511	0.7121212121212122	5.574164991949093	5.518820046301261
mTEC_like	Loxl4	4	5	442	0.5691067589256625	0.5862068965517241	5.2950956416102715	5.597924846741347
mTEC_like	Loxl4	16	5	246	0.6224634043621092	0.5818181818181818	5.853778790715675	5.981248033121314
mTEC_like	Loxl4	32	5	374	0.5905301507382277	0.5748031496062992	5.489079867534571	5.562613676209509
mTEC_like	Loxl4	52	5	373	0.6120076418698995	0.6029411764705882	5.3406539483407816	5.379397258984391
mTEChi	Lox	1	5	129	0.1580584707646177	0.17391304347826086	3.4634131716891927	4.4911837721881
mTEChi	Lox	4	5	193	0.20254638087118906	0.17391304347826086	3.227077010441884	4.3966911241939854
mTEChi	Lox	16	5	99	0.20874339300937766	0.17647058823529413	3.8773866214132937	4.5295547755526995
mTEChi	Lox	32	5	143	0.2988307391533198	0.3076923076923077	4.415941563532199	4.639244358142443
mTEChi	Lox	52	5	151	0.30524361259655375	0.3111111111111111	2.603011745023042	2.6387093186924417
mTEChi	Loxl1	1	5	129	0.9500655922038981	0.9310344827586207	8.114606176084418	8.155374936166707
mTEChi	Loxl1	4	5	193	0.7937137173710064	0.8431372549019608	7.455713970179181	7.6408688013078425
mTEChi	Loxl1	16	5	99	0.7241875532821824	0.7647058823529411	7.356668133101612	7.558268903233866
mTEChi	Loxl1	32	5	143	0.7982431009850365	0.8387096774193549	7.373210349953784	7.190158666656377
mTEChi	Loxl1	52	5	151	0.8836170528817588	0.8823529411764706	7.359343415451884	7.637113787099535
mTEChi	Loxl2	1	5	129	0.399226011994003	0.40625	3.3209127174366353	2.818391174339589
mTEChi	Loxl2	4	5	193	0.3104849186051232	0.3137254901960784	3.032855136419118	3.308273558313828
mTEChi	Loxl2	16	5	99	0.21795737425404943	0.23529411764705882	2.224307620143074	2.238369657875385
mTEChi	Loxl2	32	5	143	0.18089442815249265	0.2	2.720117777521696	3.5343063768283565
mTEChi	Loxl2	52	5	151	0.2070016339869281	0.2	2.062117974275619	2.927280397969019
mTEChi	Loxl3	1	5	129	0.45432908545727135	0.3125	5.690462362040035	5.306303130140547
mTEChi	Loxl3	4	5	193	0.29989952502740225	0.25	5.910398591364624	6.011283591474307
mTEChi	Loxl3	16	5	99	0.21413469735720375	0.2608695652173913	4.034385071740195	4.4652423150881395
mTEChi	Loxl3	32	5	143	0.28108203624332656	0.26666666666666666	5.2875969894359915	5.372840805563794
mTEChi	Loxl3	52	5	151	0.3262537136066548	0.2909090909090909	5.51341105475513	5.146431031817588
mTEChi	Loxl4	1	5	129	0.8007458770614694	0.782608695652174	5.756404763238178	5.487095916377702
