gene	donor_id	sample_id	development_stage	sex	celltypes	n_cells	n_detected	detection_fraction
LOX	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	mcTEC	2	0	0
LOX	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	cTEC	3	0	0
LOX	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	mTEC(I)	1	0	0
LOX	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	mTEC(IV)	1	0	0
LOX	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	mcTEC	4	0	0
LOX	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	TEC(neuro)	2	0	0
LOX	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	cTEC	4	0	0
LOX	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	mTEC(I)	1	0	0
LOX	F67	F67_TH_TOT_5GEX_1	12th week post-fertilization stage	female	mTEC(I)	1	0	0
LOX	F67	F67_TH_TOT_5GEX_2	12th week post-fertilization stage	female	mTEC(III)	1	0	0
LOX	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	TEC(neuro)	2	0	0
LOX	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	cTEC	1	0	0
LOX	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	mcTEC	3	0	0
LOX	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	cTEC	2	0	0
LOX	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	mTEC(I)	2	0	0
LOX	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	mTEC(II)	1	0	0
LOX	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	TEC(neuro)	1	0	0
LOX	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	cTEC	16	0	0
LOX	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mTEC(I)	1	0	0
LOX	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mTEC(II)	1	0	0
LOX	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	mcTEC	12	0	0
LOX	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	TEC(myo)	2	0	0
LOX	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	cTEC	5	0	0
LOX	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	mcTEC	8	0	0
LOX	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	TEC(myo)	7	0	0
LOX	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	TEC(neuro)	9	0	0
LOX	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	cTEC	34	1	0.0294118
LOX	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(I)	132	18	0.136364
LOX	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(II)	47	1	0.0212766
LOX	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(III)	12	0	0
LOX	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mTEC(IV)	2	0	0
LOX	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	mcTEC	241	17	0.0705394
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	TEC(myo)	16	0	0
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	TEC(neuro)	44	0	0
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	cTEC	235	0	0
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(I)	852	15	0.0176056
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(II)	357	11	0.0308123
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(III)	116	1	0.00862069
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mTEC(IV)	28	0	0
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	mcTEC	396	19	0.0479798
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	TEC(myo)	2	0	0
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	TEC(neuro)	1	0	0
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	cTEC	30	0	0
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(I)	44	1	0.0227273
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(II)	19	1	0.0526316
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(III)	7	0	0
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mTEC(IV)	3	0	0
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	mcTEC	34	3	0.0882353
LOX	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	TEC(neuro)	4	0	0
LOX	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	cTEC	18	0	0
LOX	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mTEC(I)	34	0	0
LOX	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mTEC(II)	16	2	0.125
LOX	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mTEC(III)	9	0	0
LOX	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	mcTEC	18	1	0.0555556
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	TEC(myo)	45	0	0
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	TEC(neuro)	71	5	0.0704225
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	cTEC	21	0	0
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(I)	2036	34	0.0166994
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(II)	20	5	0.25
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(III)	48	2	0.0416667
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mTEC(IV)	2	0	0
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	mcTEC	3	0	0
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	TEC(myo)	43	0	0
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	TEC(neuro)	91	4	0.043956
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	cTEC	18	0	0
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mTEC(I)	2054	34	0.0165531
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mTEC(II)	17	4	0.235294
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mTEC(III)	65	2	0.0307692
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mTEC(IV)	4	0	0
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	mcTEC	4	0	0
LOXL1	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	TEC(myo)	2	0	0
LOXL1	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	TEC(neuro)	2	0	0
LOXL1	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	cTEC	2	0	0
LOXL1	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	mTEC(I)	68	4	0.0588235
LOXL1	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	mcTEC	2	0	0
LOXL1	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	mTEC(I)	2	0	0
LOXL1	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	mTEC(II)	1	0	0
LOXL1	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	mTEC(III)	1	0	0
LOXL1	A45	A45_TH_45NM_5GEX	15-19 year-old	male	TEC(myo)	27	2	0.0740741
LOXL1	A45	A45_TH_45NM_5GEX	15-19 year-old	male	TEC(neuro)	34	1	0.0294118
LOXL1	A45	A45_TH_45NM_5GEX	15-19 year-old	male	mTEC(I)	66	1	0.0151515
LOXL1	A45	A45_TH_45NM_5GEX	15-19 year-old	male	mTEC(II)	4	1	0.25
LOXL1	A45	A45_TH_45NM_5GEX	15-19 year-old	male	mTEC(III)	55	2	0.0363636
LOXL1	A45	A45_TH_45NM_5GEX	15-19 year-old	male	mTEC(IV)	5	0	0
LOXL1	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	TEC(myo)	67	5	0.0746269
LOXL1	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	TEC(neuro)	114	4	0.0350877
LOXL1	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	mTEC(I)	770	13	0.0168831
LOXL1	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	mTEC(II)	36	5	0.138889
LOXL1	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	mTEC(III)	218	9	0.0412844
LOXL1	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	mTEC(IV)	13	0	0
LOXL1	A45	A45_TH_TOT_5GEX	15-19 year-old	male	TEC(neuro)	1	0	0
LOXL1	A45	A45_TH_TOT_5GEX	15-19 year-old	male	mTEC(I)	3	1	0.333333
LOXL1	A45	A45_TH_TOT_5GEX	15-19 year-old	male	mTEC(II)	2	0	0
LOXL1	A45	A45_TH_TOT_5GEX	15-19 year-old	male	mTEC(III)	7	0	0
