gene	age_development	cell_type_broad_derived	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label	not_generated_reason
LOXL4	Fetal (23 weeks)	cTEC-like	1	1	1	594	0.0016835	0.0016835	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	mTEC-like	1	1	1	411	0.00243309	0.00243309	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	myoid-like	1	1	1	364	0.00274725	0.00274725	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	neuroendocrine-like	1	1	1	722	0.00415512	0.00415512	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	other_epithelial	1	1	1	88	0	0	not_generated	not_generated	
LOXL4	Postnatal (10 months)	TEC-like	1	1	1	264	0.0530303	0.0530303	not_generated	not_generated	
LOXL4	Postnatal (10 months)	cTEC-like	1	1	1	198	0.010101	0.010101	not_generated	not_generated	
LOXL4	Postnatal (10 months)	mTEC-like	1	1	1	603	0.0497512	0.0497512	not_generated	not_generated	
LOXL4	Postnatal (10 months)	myoid-like	1	1	1	40	0.175	0.175	not_generated	not_generated	
LOXL4	Postnatal (10 months)	neuroendocrine-like	1	1	1	69	0	0	not_generated	not_generated	
LOXL4	Postnatal (6 days)	TEC-like	1	1	1	12	0.166667	0.166667	not_generated	not_generated	
LOXL4	Postnatal (6 days)	cTEC-like	1	1	1	98	0	0	not_generated	not_generated	
LOXL4	Postnatal (6 days)	mTEC-like	1	1	1	119	0.0252101	0.0252101	not_generated	not_generated	
LOXL4	Postnatal (6 days)	myoid-like	1	1	1	4	0	0	not_generated	not_generated	
LOXL4	Postnatal (6 days)	neuroendocrine-like	1	1	1	2	0	0	not_generated	not_generated	
