CellID	ClusterID	Position	PlateID	Column	Row	SortType	SortDay	Age	SubType	sizeFactor	ExportSample	cell_barcode	total_counts_all_features	detected_features_all_features	join_id	Characteristics[individual]	Characteristics[age]	Factor Value[age]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[inferred cell type]	Comment[ENA_RUN]	Assay Name	age_week	individual	biological_mouse_id
F10.B002295.2_1.16.4.1_S298	7	F10	B002295	10	F	mTEChi	2	16wk	Mature mTEC	1.93653036535609	day2	F10.B002295.2_1.16.4.1_S298	2565306	4299	F10B002295211641S298	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3821491	F10-B002295-2_1-16-4-1_S298	16	2	wk16_mouse2
F11.B002284.2_52.1.32.1_S71	7	F11	B002284	11	F	mTEChi	2	1wk	Mature mTEC	1.15343367480008	day2	F11.B002284.2_52.1.32.1_S71	1426335	5606	F11B0022842521321S71	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814826	F11-B002284-2_52-1-32-1_S71	1	2	wk1_mouse2
F11.B002295.2_1.16.4.1_S299	7	F11	B002295	11	F	mTEChi	2	16wk	Mature mTEC	3.24733016322425	day2	F11.B002295.2_1.16.4.1_S299	3926513	7239	F11B002295211641S299	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3821497	F11-B002295-2_1-16-4-1_S299	16	2	wk16_mouse2
F12.B002284.2_52.1.32.1_S72	7	F12	B002284	12	F	mTEChi	2	1wk	Mature mTEC	0.22731251210389	day2	F12.B002284.2_52.1.32.1_S72	358218	3232	F12B0022842521321S72	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814830	F12-B002284-2_52-1-32-1_S72	1	2	wk1_mouse2
F13.B002284.2_52.1.32.1_S73	7	F13	B002284	13	F	mTEChi	2	1wk	Mature mTEC	3.19368440205248	day2	F13.B002284.2_52.1.32.1_S73	2975542	7740	F13B0022842521321S73	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814834	F13-B002284-2_52-1-32-1_S73	1	2	wk1_mouse2
F13.B002295.2_1.16.4.1_S1	7	F13	B002295	13	F	mTEChi	2	16wk	Mature mTEC	2.63153771214152	day2	F13.B002295.2_1.16.4.1_S1	3401567	4799	F13B002295211641S1	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3821509	F13-B002295-2_1-16-4-1_S1	16	2	wk16_mouse2
F14.B002284.2_52.1.32.1_S74	7	F14	B002284	14	F	mTEChi	2	1wk	Mature mTEC	0.331810788712123	day2	F14.B002284.2_52.1.32.1_S74	454841	4041	F14B0022842521321S74	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814838	F14-B002284-2_52-1-32-1_S74	1	2	wk1_mouse2
F14.B002295.2_1.16.4.1_S2	7	F14	B002295	14	F	mTEChi	2	16wk	Mature mTEC	2.12725715239364	day2	F14.B002295.2_1.16.4.1_S2	2316621	4915	F14B002295211641S2	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3821515	F14-B002295-2_1-16-4-1_S2	16	2	wk16_mouse2
F15.B002284.2_52.1.32.1_S75	6	F15	B002284	15	F	mTEChi	2	1wk	Proliferating TEC	2.19056206747605	day2	F15.B002284.2_52.1.32.1_S75	2123257	9652	F15B0022842521321S75	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Proliferating.TEC	ERR3814842	F15-B002284-2_52-1-32-1_S75	1	2	wk1_mouse2
F15.B002295.2_1.16.4.1_S3	7	F15	B002295	15	F	mTEChi	2	16wk	Mature mTEC	2.34920428510932	day2	F15.B002295.2_1.16.4.1_S3	2820017	3925	F15B002295211641S3	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3821521	F15-B002295-2_1-16-4-1_S3	16	2	wk16_mouse2
