sample_id	age_group	cell_type	subtype	cell_count
mo02_EC_d0	02mo	8:nmSC	8:nmSC	2
mo02_EC_d0	02mo	EC	0:arEC	121
mo02_EC_d0	02mo	EC	1:capEC	328
mo02_EC_d0	02mo	EC	2:venEC	108
mo02_FB_d0	02mo	6:MEC	6:MEC	11
mo02_FB_d0	02mo	8:nmSC	8:nmSC	5
mo02_FB_d0	02mo	FB	3:capsFB	1335
mo02_FB_d0	02mo	FB	4:intFB	1385
mo02_FB_d0	02mo	FB	5:medFB	1242
mo02_FB_d0	02mo	FB	9:Fat	15
mo02_FB_d0	02mo	TEC	11:aaTEC2	1
mo18_CD45neg1_d0	18mo	6:MEC	6:MEC	186
mo18_CD45neg1_d0	18mo	7:vSMC/PC	7:vSMC/PC	197
mo18_CD45neg1_d0	18mo	8:nmSC	8:nmSC	16
mo18_CD45neg1_d0	18mo	EC	0:arEC	3
mo18_CD45neg1_d0	18mo	EC	1:capEC	4
mo18_CD45neg1_d0	18mo	FB	3:capsFB	172
mo18_CD45neg1_d0	18mo	FB	4:intFB	78
mo18_CD45neg1_d0	18mo	FB	5:medFB	173
mo18_CD45neg1_d0	18mo	FB	9:Fat	8
mo18_CD45neg1_d0	18mo	TEC	10:aaTEC1	243
mo18_CD45neg1_d0	18mo	TEC	11:aaTEC2	102
mo18_CD45neg1_d0	18mo	TEC	12:cTEC	92
mo18_CD45neg1_d0	18mo	TEC	12:early Pr	96
mo18_CD45neg1_d0	18mo	TEC	13:mTEC1	288
mo18_CD45neg1_d0	18mo	TEC	14:mTEC-prol	26
mo18_CD45neg1_d0	18mo	TEC	15:mTEC2	117
mo18_CD45neg1_d0	18mo	TEC	16:mimetic(basal)	13
mo18_CD45neg1_d0	18mo	TEC	17:mimetic(tuft)	70
mo18_CD45neg1_d0	18mo	TEC	18:mimetic(neuroendo)	40
mo18_CD45neg1_d0	18mo	TEC	19:mimetic(goblet)	54
mo18_CD45neg1_d0	18mo	TEC	20:mimetic(microfold)	6
mo18_CD45neg2_d0	18mo	6:MEC	6:MEC	387
mo18_CD45neg2_d0	18mo	7:vSMC/PC	7:vSMC/PC	479
mo18_CD45neg2_d0	18mo	8:nmSC	8:nmSC	23
mo18_CD45neg2_d0	18mo	EC	1:capEC	3
mo18_CD45neg2_d0	18mo	EC	2:venEC	1
mo18_CD45neg2_d0	18mo	FB	3:capsFB	274
mo18_CD45neg2_d0	18mo	FB	4:intFB	176
mo18_CD45neg2_d0	18mo	FB	5:medFB	313
mo18_CD45neg2_d0	18mo	FB	9:Fat	10
mo18_CD45neg2_d0	18mo	TEC	10:aaTEC1	480
mo18_CD45neg2_d0	18mo	TEC	11:aaTEC2	138
mo18_CD45neg2_d0	18mo	TEC	12:cTEC	233
mo18_CD45neg2_d0	18mo	TEC	12:early Pr	261
mo18_CD45neg2_d0	18mo	TEC	13:mTEC1	763
mo18_CD45neg2_d0	18mo	TEC	14:mTEC-prol	117
mo18_CD45neg2_d0	18mo	TEC	15:mTEC2	333
mo18_CD45neg2_d0	18mo	TEC	16:mimetic(basal)	26
mo18_CD45neg2_d0	18mo	TEC	17:mimetic(tuft)	92
mo18_CD45neg2_d0	18mo	TEC	18:mimetic(neuroendo)	81
mo18_CD45neg2_d0	18mo	TEC	19:mimetic(goblet)	63
mo18_CD45neg2_d0	18mo	TEC	20:mimetic(microfold)	13
mo18_EC_d0	18mo	7:vSMC/PC	7:vSMC/PC	20
mo18_EC_d0	18mo	8:nmSC	8:nmSC	1
mo18_EC_d0	18mo	EC	0:arEC	117
mo18_EC_d0	18mo	EC	1:capEC	490
mo18_EC_d0	18mo	EC	2:venEC	76
mo18_EC_d0	18mo	TEC	12:early Pr	1
mo18_EC_d0	18mo	TEC	13:mTEC1	3
mo18_EC_d0	18mo	TEC	15:mTEC2	1
mo18_EC_d0	18mo	TEC	19:mimetic(goblet)	1
mo18_FB_d0	18mo	6:MEC	6:MEC	45
mo18_FB_d0	18mo	7:vSMC/PC	7:vSMC/PC	10
mo18_FB_d0	18mo	8:nmSC	8:nmSC	17
mo18_FB_d0	18mo	FB	3:capsFB	822
mo18_FB_d0	18mo	FB	4:intFB	1626
mo18_FB_d0	18mo	FB	5:medFB	2395
mo18_FB_d0	18mo	FB	9:Fat	32
mo18_FB_d0	18mo	TEC	10:aaTEC1	1
mo18_FB_d0	18mo	TEC	11:aaTEC2	17
mo18_FB_d0	18mo	TEC	12:cTEC	1
mo18_FB_d0	18mo	TEC	13:mTEC1	2
mo18_FB_d0	18mo	TEC	15:mTEC2	4
mo18_FB_d0	18mo	TEC	18:mimetic(neuroendo)	2
