gene	cell_type	subtype	comparison	baseMean	log2FoldChange	lfcSE	pvalue	padj	n_young_samples	n_aged_samples
Loxl4	EC	1:capEC	18mo_vs_02mo						3	1
Lox	EC	2:venEC	18mo_vs_02mo	0.645564453158521	-2.83680075666836	5.215147296848554	0.5864730586599658	0.9995340279615031	3	1
Loxl1	EC	2:venEC	18mo_vs_02mo	0.5533409598501607	-1.8194156449395216	5.557236815990367	0.7433685900890059	0.9995340279615031	3	1
Loxl2	EC	2:venEC	18mo_vs_02mo	0.4772322793384881	2.160105204132211	4.455635212971171	0.6278161126243451	0.9995340279615031	3	1
Loxl3	EC	2:venEC	18mo_vs_02mo	0.4580976804851784	-2.2651204758115235	5.4475736663273215	0.6775537600765799	0.9995340279615031	3	1
Loxl4	EC	2:venEC	18mo_vs_02mo	0.0922234933083601	-1.2809771713291933	6.444418748186161	0.8424402295829176	0.9995340279615031	3	1
Lox	FB		18mo_vs_02mo	505.5626332365733	-1.2949016364588477	0.26541786404647	1.0677204297735093e-06	4.363802253793245e-05	3	3
Loxl1	FB		18mo_vs_02mo	2754.607095008772	-0.6157903047606486	0.1897345403526846	0.0011722968993116	0.0143501963005337	3	3
Loxl2	FB		18mo_vs_02mo	420.7882886795337	-0.5168644214764081	0.1667682570839834	0.0019398021242926	0.0208187989521313	3	3
Loxl3	FB		18mo_vs_02mo	298.89599034099484	-0.0451030634157154	0.176416358741637	0.7982113831782185	0.933533454825535	3	3
Loxl4	FB		18mo_vs_02mo	9.13379349606867	-0.2540785689400777	0.7318413909083127	0.7284582765890419	0.9009972691651156	3	3
Lox	FB	3:capsFB	18mo_vs_02mo	171.7205764931616	-1.461983266265079	0.2916754643602987	5.37656913172565e-07	7.52478034885109e-05	3	3
Loxl1	FB	3:capsFB	18mo_vs_02mo	1643.6602178820428	-0.2539896112183952	0.1469059742190009	0.08382227566267	0.4824702101144022	3	3
Loxl2	FB	3:capsFB	18mo_vs_02mo	208.0955612130696	0.1467134845580635	0.1867331044900695	0.4320517852653824	0.8661897693973287	3	3
Loxl3	FB	3:capsFB	18mo_vs_02mo	114.54520997653624	-0.1843459999455056	0.2158265558186194	0.3930276654916106	0.8480762601501095	3	3
Loxl4	FB	3:capsFB	18mo_vs_02mo	4.81750227321727	0.4569331626702036	1.059318678418629	0.6662166101069448	0.9448631146652802	3	3
Lox	FB	4:intFB	18mo_vs_02mo	250.7972382097565	-0.625956479206368	0.2195582479982514	0.0043584520216457	0.0716375401347848	3	3
Loxl1	FB	4:intFB	18mo_vs_02mo	737.9985219497922	-0.5123242678042881	0.1720414448578851	0.0029021938209416	0.0541318283216391	3	3
Loxl2	FB	4:intFB	18mo_vs_02mo	118.5693906434342	-0.5784463994404674	0.247750470768832	0.0195541664878017	0.1898400016846443	3	3
Loxl3	FB	4:intFB	18mo_vs_02mo	94.79655468366644	0.210541770945323	0.2664589172886922	0.4294417996670224	0.855435277090965	3	3
Loxl4	FB	4:intFB	18mo_vs_02mo	2.922860480692872	-0.5893481356593899	1.2886156420881996	0.6474196239208694		3	3
Lox	FB	5:medFB	18mo_vs_02mo	25.04629396163639	1.101093219618501	0.433859917611064	0.0111519746061231	0.0747288780909326	3	3
Loxl1	FB	5:medFB	18mo_vs_02mo	146.28166934248358	0.7505055180833843	0.2450487394031332	0.0021936556343317	0.022557597703736	3	3
Loxl2	FB	5:medFB	18mo_vs_02mo	70.12402624040357	-0.9954827176484546	0.2832809543245712	0.0004412166683791	0.0067177089389437	3	3
Loxl3	FB	5:medFB	18mo_vs_02mo	75.91169967068376	0.3968840261474753	0.3010650406623705	0.1874143747184368	0.4751276386464128	3	3
Loxl4	FB	5:medFB	18mo_vs_02mo	0.9277231445630978	-0.6270507310510817	2.184473983154384	0.7740749212543258		3	3
Lox	FB	9:Fat	18mo_vs_02mo	1.9788194949888291	-0.3844096305732658	3.151519344692893	0.9029180489231524	0.999806114744774	1	2
Loxl1	FB	9:Fat	18mo_vs_02mo	21.93567302397844	-0.585874257800052	2.5891193095473333	0.8209811474030957	0.999806114744774	1	2
Loxl2	FB	9:Fat	18mo_vs_02mo	2.315067984648974	-0.0325814089014426	2.851349711807394	0.990883041346891	0.999806114744774	1	2
Loxl3	FB	9:Fat	18mo_vs_02mo	1.8856906968058476	0.9362030810551322	3.3197092688994263	0.7779331007600759	0.999806114744774	1	2
Loxl4	FB	9:Fat	18mo_vs_02mo	0.2987603164371442	1.0852067259226037	4.718070814170967	0.8180834625755622	0.999806114744774	1	2
Lox	TEC		18mo_vs_02mo	115.53309866322611	2.09315972375714	0.8133972106320865	0.0100717859998613	0.1256365554786752	2	3
Loxl1	TEC		18mo_vs_02mo	56.16205352021005	0.060479906463839	0.5641425203069188	0.9146249319875724	0.9740717079894968	2	3
Loxl2	TEC		18mo_vs_02mo	37.52468025604686	-1.5933834029364908	0.6648943839309446	0.0165549383370096	0.1647285445031163	2	3
Loxl3	TEC		18mo_vs_02mo	31.68458886780233	-0.7908084124025462	0.8256125533228652	0.3381411949319339	0.6803497382921965	2	3
Loxl4	TEC		18mo_vs_02mo	2.76281397468476	-0.6426503763516245	0.7763605748195773	0.4077990286584847	0.7346065906486033	2	3
Lox	TEC	10:aaTEC1	18mo_vs_02mo						0	2
Loxl1	TEC	10:aaTEC1	18mo_vs_02mo						0	2
Loxl2	TEC	10:aaTEC1	18mo_vs_02mo						0	2
Loxl3	TEC	10:aaTEC1	18mo_vs_02mo						0	2
